id_devolucion,id_producto,id_tienda,fecha,unidades_devueltas,motivo
DEVP0001,SKU00002,T06,2025-07-07,6,Defecto de fabricacion
DEVP0002,SKU00002,T09,2025-01-26,6,Devolucion de cliente (cambio)
DEVP0003,SKU00002,T02,2024-07-09,8,Error de picking
DEVP0004,SKU00002,T05,2025-11-16,7,Devolucion de cliente (cambio)
DEVP0005,SKU00003,T15,2025-04-03,1,Devolucion de cliente (cambio)
DEVP0006,SKU00003,T24,2025-06-14,1,Devolucion de cliente (cambio)
DEVP0007,SKU00004,T26,2023-11-13,9,Defecto de fabricacion
DEVP0008,SKU00004,T17,2024-11-03,11,Devolucion de cliente (cambio)
DEVP0009,SKU00004,T18,2024-05-25,10,Defecto de fabricacion
DEVP0010,SKU00004,T11,2024-01-22,6,Producto dañado en logistica
DEVP0011,SKU00004,T10,2025-04-18,2,Defecto de fabricacion
DEVP0012,SKU00004,T16,2024-03-11,11,Producto dañado en logistica
DEVP0013,SKU00005,T22,2024-02-27,2,Devolucion de cliente (cambio)
DEVP0014,SKU00005,T02,2025-06-08,4,Producto sin rotacion / no vendido
DEVP0015,SKU00005,T02,2025-09-08,1,Producto dañado en logistica
DEVP0016,SKU00006,T07,2023-11-17,4,Producto dañado en logistica
DEVP0017,SKU00006,T13,2024-10-03,5,Producto sin rotacion / no vendido
DEVP0018,SKU00006,T16,2022-10-13,4,Defecto de fabricacion
DEVP0019,SKU00006,T15,2023-11-13,4,Producto sin rotacion / no vendido
DEVP0020,SKU00006,T15,2024-11-25,6,Defecto de fabricacion
DEVP0021,SKU00006,T17,2022-10-10,2,Producto sin rotacion / no vendido
DEVP0022,SKU00006,T17,2023-07-06,5,Error de picking
DEVP0023,SKU00007,T25,2024-06-09,4,Devolucion de cliente (cambio)
DEVP0024,SKU00008,T22,2025-08-10,1,Devolucion de cliente (cambio)
DEVP0025,SKU00008,T04,2024-09-09,4,Devolucion de cliente (cambio)
DEVP0026,SKU00008,T20,2024-04-12,3,Producto dañado en logistica
DEVP0027,SKU00008,T20,2025-05-23,3,Producto dañado en logistica
DEVP0028,SKU00009,T03,2025-08-24,4,Devolucion de cliente (cambio)
DEVP0029,SKU00009,T24,2024-12-11,8,Defecto de fabricacion
DEVP0030,SKU00010,T08,2023-08-17,1,Defecto de fabricacion
DEVP0031,SKU00010,T19,2024-01-25,3,Producto dañado en logistica
DEVP0032,SKU00010,T22,2024-07-13,1,Producto dañado en logistica
DEVP0033,SKU00010,T14,2023-03-16,4,Defecto de fabricacion
DEVP0034,SKU00012,T21,2025-03-03,1,Error de picking
DEVP0035,SKU00012,T12,2025-04-05,3,Defecto de fabricacion
DEVP0036,SKU00013,T17,2023-10-15,12,Producto dañado en logistica
DEVP0037,SKU00013,T27,2023-12-09,6,Producto dañado en logistica
DEVP0038,SKU00013,T27,2024-07-18,7,Producto sin rotacion / no vendido
DEVP0039,SKU00013,T06,2022-10-20,6,Defecto de fabricacion
DEVP0040,SKU00013,T06,2024-02-06,11,Producto sin rotacion / no vendido
DEVP0041,SKU00013,T04,2024-03-20,7,Producto sin rotacion / no vendido
DEVP0042,SKU00014,T22,2025-09-09,2,Defecto de fabricacion
DEVP0043,SKU00015,T11,2025-12-20,3,Defecto de fabricacion
DEVP0044,SKU00015,T22,2025-03-09,5,Defecto de fabricacion
DEVP0045,SKU00015,T22,2025-05-10,3,Defecto de fabricacion
DEVP0046,SKU00015,T22,2025-07-06,3,Error de picking
DEVP0047,SKU00016,T09,2024-07-02,12,Error de picking
DEVP0048,SKU00019,T18,2025-11-17,5,Producto sin rotacion / no vendido
DEVP0049,SKU00019,T13,2025-03-12,4,Defecto de fabricacion
DEVP0050,SKU00021,T12,2022-07-09,3,Defecto de fabricacion
DEVP0051,SKU00021,T07,2023-01-16,1,Producto sin rotacion / no vendido
DEVP0052,SKU00021,T20,2022-04-19,1,Producto dañado en logistica
DEVP0053,SKU00021,T20,2022-11-06,1,Defecto de fabricacion
DEVP0054,SKU00021,T05,2023-09-19,1,Devolucion de cliente (cambio)
DEVP0055,SKU00021,T01,2023-11-10,2,Producto sin rotacion / no vendido
DEVP0056,SKU00021,T14,2022-05-19,1,Defecto de fabricacion
DEVP0057,SKU00024,T13,2024-10-23,2,Producto sin rotacion / no vendido
DEVP0058,SKU00025,T10,2024-09-26,5,Error de picking
DEVP0059,SKU00025,T20,2024-03-19,7,Error de picking
DEVP0060,SKU00025,T20,2025-08-04,2,Producto sin rotacion / no vendido
DEVP0061,SKU00025,T22,2025-07-15,5,Devolucion de cliente (cambio)
DEVP0062,SKU00025,T18,2024-03-28,4,Error de picking
DEVP0063,SKU00025,T05,2024-03-26,7,Producto dañado en logistica
