id_producto,fecha_vigencia_desde,fecha_vigencia_hasta,precio_lista,costo_unitario
SKU00001,2023-08-01,2024-09-10,6361.36,2885.71
SKU00001,2024-09-11,,17900.0,8120.0
SKU00002,2023-12-16,,42800.0,25470.0
SKU00003,2025-03-25,2026-06-28,24303.51,
SKU00003,2026-06-29,,39000.0,
SKU00004,2023-10-11,2024-06-25,1168.78,640.94
SKU00004,2024-06-26,,3100.0,1700.0
SKU00005,2024-01-20,2025-11-08,34977.68,21691.1
SKU00005,2025-11-09,2026-02-25,67020.84,41562.4
SKU00005,2026-02-26,,84900.0,52650.0
SKU00006,2022-08-24,,66200.0,31230.0
SKU00007,2023-10-16,,80700.0,50150.0
SKU00008,2024-03-14,2024-06-11,7211.77,4156.6
SKU00008,2024-06-12,2024-08-03,7880.49,4542.03
SKU00008,2024-08-04,,16500.0,9510.0
SKU00009,2024-10-08,2025-03-14,2042.69,967.59
SKU00009,2025-03-15,2025-11-10,2368.03,1121.7
SKU00009,2025-11-11,,3800.0,1800.0
SKU00010,2022-05-01,,29800.0,14350.0
SKU00011,2023-01-23,2026-05-23,19880.39,12199.86
SKU00011,2026-05-24,,68800.0,42220.0
SKU00012,2024-10-30,2026-04-29,17362.84,8917.94
SKU00012,2026-04-30,,32300.0,16590.0
SKU00013,2022-02-23,2022-12-01,2463.25,1150.21
SKU00013,2022-12-02,,11800.0,5510.0
SKU00014,2025-06-07,2026-03-02,44057.55,25106.68
SKU00014,2026-03-03,2026-07-14,57485.11,32758.52
SKU00014,2026-07-15,,64700.0,36870.0
SKU00015,2024-04-14,2025-08-20,3106.3,1697.21
SKU00015,2025-08-21,,6900.0,3770.0
SKU00016,2024-02-25,,37300.0,23110.0
SKU00017,2022-07-20,,65200.0,37190.0
SKU00018,2023-11-06,,50600.0,32370.0
SKU00019,2022-03-17,,88800.0,45960.0
SKU00020,2022-08-31,2023-08-11,5757.88,3507.07
SKU00020,2023-08-12,2025-02-25,8209.36,5000.24
SKU00020,2025-02-26,,23100.0,14070.0
SKU00021,2022-02-08,2023-10-25,1586.5,828.74
SKU00021,2023-10-26,,7600.0,3970.0
SKU00022,2023-07-17,2023-10-12,2829.27,1452.59
SKU00022,2023-10-13,,8200.0,4210.0
SKU00023,2024-12-10,,8200.0,4170.0
SKU00024,2024-03-28,,71500.0,45120.0
SKU00025,2023-09-30,2024-04-16,26282.02,14780.89
SKU00025,2024-04-17,,71800.0,40380.0
SKU00026,2024-04-25,,56200.0,29350.0
SKU00027,2023-08-07,2024-06-16,6005.98,3226.88
SKU00027,2024-06-17,2024-12-29,8071.53,4336.66
SKU00027,2024-12-30,,16900.0,9080.0
SKU00028,2025-06-27,2026-07-06,45283.26,
SKU00028,2026-07-07,,66500.0,
SKU00029,2024-12-08,2026-02-28,2167.09,1311.66
SKU00029,2026-03-01,,3800.0,2300.0
SKU00030,2024-06-22,2025-08-07,13564.0,8004.67
SKU00030,2025-08-08,2025-09-01,20516.76,12107.78
SKU00030,2025-09-02,,28400.0,16760.0
SKU00031,2023-02-07,,66700.0,42460.0
SKU00032,2023-01-04,2025-06-12,10749.28,5608.7
SKU00032,2025-06-13,,37200.0,19410.0
SKU00033,2022-03-31,,73000.0,44010.0
SKU00034,2023-05-26,,59400.0,36360.0
SKU00035,2024-12-16,,58500.0,37530.0
SKU00036,2023-05-09,2026-04-30,10212.1,6104.49
SKU00036,2026-05-01,,31400.0,18770.0
SKU00037,2025-05-07,2025-06-06,56591.68,29247.85
SKU00037,2025-06-07,2026-04-25,58289.43,30125.29
SKU00037,2026-04-26,,85600.0,44240.0
SKU00038,2024-12-17,2025-11-28,31821.96,16646.65
SKU00038,2025-11-29,,55800.0,29190.0
SKU00039,2022-01-01,2024-05-10,8633.75,4014.9
SKU00039,2024-05-11,2025-12-19,19753.4,9185.79
SKU00039,2025-12-20,,42600.0,19810.0
SKU00040,2022-09-25,,3700.0,2230.0
SKU00041,2025-03-07,2025-05-19,26048.38,14968.47
SKU00041,2025-05-20,,41800.0,24020.0
SKU00042,2023-08-23,2025-05-04,23846.23,12726.28
SKU00042,2025-05-05,,67100.0,35810.0
SKU00043,2025-06-04,2026-01-16,23424.73,11331.03
SKU00043,2026-01-17,,34400.0,16640.0
SKU00044,2023-05-23,2023-08-14,23383.76,14417.28
SKU00044,2023-08-15,,71900.0,44330.0
SKU00045,2024-03-14,,66600.0,41630.0
SKU00046,2024-09-20,,59000.0,34760.0
SKU00047,2022-12-11,2025-09-03,5330.32,3217.83
SKU00047,2025-09-04,,19000.0,11470.0
SKU00048,2022-04-22,2025-02-03,6953.94,3738.3
SKU00048,2025-02-04,,31400.0,16880.0
SKU00049,2023-03-01,,30100.0,16970.0
SKU00050,2025-05-15,,60000.0,33910.0
SKU00051,2022-05-31,2023-12-16,6843.21,3378.27
SKU00051,2023-12-17,,30000.0,14810.0
SKU00052,2022-11-11,2024-02-05,20809.2,10622.5
SKU00052,2024-02-06,2024-09-10,32420.06,16549.51
SKU00052,2024-09-11,,76400.0,39000.0
SKU00053,2022-05-09,2022-09-10,9261.15,4336.32
SKU00053,2022-09-11,,40600.0,19010.0
SKU00054,2022-03-18,2024-01-17,6127.86,2861.82
SKU00054,2024-01-18,,28500.0,13310.0
SKU00055,2024-10-13,2025-03-24,17309.09,10245.69
SKU00055,2025-03-25,,32200.0,19060.0
SKU00056,2022-08-15,2026-01-19,21859.99,12570.12
SKU00056,2026-01-20,,87700.0,50430.0
SKU00057,2023-07-25,,25700.0,14940.0
SKU00058,2024-07-22,2024-09-29,28138.61,17311.15
SKU00058,2024-09-30,2026-03-29,29852.25,18365.4
SKU00058,2026-03-30,,57200.0,35190.0
SKU00059,2022-06-17,2026-02-08,11512.56,7278.76
SKU00059,2026-02-09,2026-05-26,42267.83,26723.62
SKU00059,2026-05-27,,49000.0,30980.0
SKU00060,2024-04-01,2024-08-27,17377.3,8814.7
SKU00060,2024-08-28,,38600.0,19580.0
SKU00061,2023-06-21,2024-08-29,15978.69,10139.93
SKU00061,2024-08-30,2024-12-04,24169.2,15337.56
SKU00061,2024-12-05,,47700.0,30270.0
SKU00062,2022-09-29,2024-03-21,16867.59,9257.92
SKU00062,2024-03-22,2024-07-14,28715.94,15760.99
SKU00062,2024-07-15,,65700.0,36060.0
SKU00063,2022-12-11,,45800.0,26550.0
SKU00064,2025-05-23,2026-03-08,27370.28,15331.32
SKU00064,2026-03-09,,41400.0,23190.0
SKU00065,2023-01-24,,87500.0,55690.0
SKU00066,2025-02-03,2025-07-03,45981.25,21859.24
SKU00066,2025-07-04,2026-07-06,53304.87,25340.86
SKU00066,2026-07-07,,76000.0,36130.0
SKU00067,2022-09-26,2026-03-13,13093.56,6852.3
SKU00067,2026-03-14,,51000.0,26690.0
SKU00068,2023-05-19,,82200.0,42150.0
SKU00069,2024-12-26,,83900.0,41750.0
SKU00070,2022-05-09,2022-10-28,8896.18,5711.8
SKU00070,2022-10-29,2026-02-25,10313.11,6621.54
SKU00070,2026-02-26,,39000.0,25040.0
SKU00071,2022-09-30,2025-11-27,13966.47,8888.22
SKU00071,2025-11-28,2026-05-27,42943.86,27329.35
SKU00071,2026-05-28,,54400.0,34620.0
SKU00072,2022-11-26,2024-10-31,13455.17,6667.66
SKU00072,2024-11-01,2025-01-13,27351.58,13553.98
SKU00072,2025-01-14,,49400.0,24480.0
SKU00073,2024-09-12,2025-11-24,33766.44,18715.07
