fecha_mes,id_tienda,categoria,presupuesto_venta_ars,presupuesto_unidades
2022-01-01,T01,Baño,0.0,0
2022-01-01,T01,Cocina y mesa,0.0,0
2022-01-01,T01,Decoracion,0.0,0
2022-01-01,T01,Iluminacion,0.0,0
2022-01-01,T01,Muebles,0.0,0
2022-01-01,T01,Organizacion,0.0,0
2022-01-01,T01,Textil hogar,0.0,0
2022-01-01,T02,Baño,0.0,0
2022-01-01,T02,Cocina y mesa,0.0,0
2022-01-01,T02,Decoracion,0.0,0
2022-01-01,T02,Iluminacion,0.0,0
2022-01-01,T02,Muebles,0.0,0
2022-01-01,T02,Organizacion,0.0,0
2022-01-01,T02,Textil hogar,0.0,0
2022-01-01,T03,Baño,0.0,0
2022-01-01,T03,Cocina y mesa,0.0,0
2022-01-01,T03,Decoracion,0.0,0
2022-01-01,T03,Iluminacion,0.0,0
2022-01-01,T03,Muebles,0.0,0
2022-01-01,T03,Organizacion,0.0,0
2022-01-01,T03,Textil hogar,0.0,0
2022-01-01,T04,Baño,0.0,0
2022-01-01,T04,Cocina y mesa,0.0,0
2022-01-01,T04,Decoracion,0.0,0
2022-01-01,T04,Iluminacion,0.0,0
2022-01-01,T04,Muebles,0.0,0
2022-01-01,T04,Organizacion,43028.61,1
2022-01-01,T04,Textil hogar,0.0,0
2022-01-01,T05,Baño,0.0,0
2022-01-01,T05,Cocina y mesa,0.0,0
2022-01-01,T05,Decoracion,0.0,0
2022-01-01,T05,Iluminacion,0.0,0
2022-01-01,T05,Muebles,0.0,0
2022-01-01,T05,Organizacion,87015.11,2
2022-01-01,T05,Textil hogar,0.0,0
2022-01-01,T06,Baño,0.0,0
2022-01-01,T06,Cocina y mesa,0.0,0
2022-01-01,T06,Decoracion,0.0,0
2022-01-01,T06,Iluminacion,0.0,0
2022-01-01,T06,Muebles,0.0,0
2022-01-01,T06,Organizacion,0.0,0
2022-01-01,T06,Textil hogar,0.0,0
2022-01-01,T07,Baño,0.0,0
2022-01-01,T07,Cocina y mesa,0.0,0
2022-01-01,T07,Decoracion,0.0,0
2022-01-01,T07,Iluminacion,0.0,0
2022-01-01,T07,Muebles,0.0,0
2022-01-01,T07,Organizacion,0.0,0
2022-01-01,T07,Textil hogar,0.0,0
2022-01-01,T08,Baño,0.0,0
2022-01-01,T08,Cocina y mesa,0.0,0
2022-01-01,T08,Decoracion,0.0,0
2022-01-01,T08,Iluminacion,0.0,0
2022-01-01,T08,Muebles,0.0,0
2022-01-01,T08,Organizacion,0.0,0
2022-01-01,T08,Textil hogar,0.0,0
2022-01-01,T09,Baño,0.0,0
2022-01-01,T09,Cocina y mesa,0.0,0
2022-01-01,T09,Decoracion,0.0,0
2022-01-01,T09,Iluminacion,0.0,0
2022-01-01,T09,Muebles,0.0,0
2022-01-01,T09,Organizacion,0.0,0
2022-01-01,T09,Textil hogar,0.0,0
2022-01-01,T10,Baño,0.0,0
2022-01-01,T10,Cocina y mesa,0.0,0
2022-01-01,T10,Decoracion,0.0,0
2022-01-01,T10,Iluminacion,0.0,0
2022-01-01,T10,Muebles,0.0,0
2022-01-01,T10,Organizacion,39997.78,1
2022-01-01,T10,Textil hogar,0.0,0
2022-01-01,T11,Baño,0.0,0
2022-01-01,T11,Cocina y mesa,0.0,0
2022-01-01,T11,Decoracion,0.0,0
2022-01-01,T11,Iluminacion,0.0,0
2022-01-01,T11,Muebles,0.0,0
2022-01-01,T11,Organizacion,0.0,0
2022-01-01,T11,Textil hogar,0.0,0
2022-01-01,T12,Baño,0.0,0
2022-01-01,T12,Cocina y mesa,0.0,0
2022-01-01,T12,Decoracion,0.0,0
2022-01-01,T12,Iluminacion,0.0,0
2022-01-01,T12,Muebles,0.0,0
2022-01-01,T12,Organizacion,41007.63,1
2022-01-01,T12,Textil hogar,0.0,0
2022-01-01,T13,Baño,0.0,0
2022-01-01,T13,Cocina y mesa,0.0,0
2022-01-01,T13,Decoracion,0.0,0
2022-01-01,T13,Iluminacion,0.0,0
2022-01-01,T13,Muebles,0.0,0
2022-01-01,T13,Organizacion,0.0,0
2022-01-01,T13,Textil hogar,0.0,0
2022-01-01,T14,Baño,0.0,0
2022-01-01,T14,Cocina y mesa,0.0,0
2022-01-01,T14,Decoracion,0.0,0
2022-01-01,T14,Iluminacion,0.0,0
2022-01-01,T14,Muebles,0.0,0
2022-01-01,T14,Organizacion,38826.57,1
2022-01-01,T14,Textil hogar,0.0,0
2022-01-01,T15,Baño,0.0,0
2022-01-01,T15,Cocina y mesa,0.0,0
2022-01-01,T15,Decoracion,0.0,0
2022-01-01,T15,Iluminacion,0.0,0
2022-01-01,T15,Muebles,0.0,0
2022-01-01,T15,Organizacion,45350.31,1
2022-01-01,T15,Textil hogar,0.0,0
2022-01-01,T16,Baño,0.0,0
2022-01-01,T16,Cocina y mesa,0.0,0
2022-01-01,T16,Decoracion,0.0,0
2022-01-01,T16,Iluminacion,0.0,0
2022-01-01,T16,Muebles,0.0,0
2022-01-01,T16,Organizacion,0.0,0
2022-01-01,T16,Textil hogar,0.0,0
2022-01-01,T17,Baño,0.0,0
2022-01-01,T17,Cocina y mesa,0.0,0
2022-01-01,T17,Decoracion,0.0,0
2022-01-01,T17,Iluminacion,0.0,0
2022-01-01,T17,Muebles,0.0,0
2022-01-01,T17,Organizacion,44164.1,1
2022-01-01,T17,Textil hogar,0.0,0
2022-01-01,T18,Baño,0.0,0
2022-01-01,T18,Cocina y mesa,0.0,0
2022-01-01,T18,Decoracion,0.0,0
2022-01-01,T18,Iluminacion,0.0,0
2022-01-01,T18,Muebles,0.0,0
2022-01-01,T18,Organizacion,0.0,0
2022-01-01,T18,Textil hogar,0.0,0
2022-01-01,T19,Baño,0.0,0
2022-01-01,T19,Cocina y mesa,0.0,0
2022-01-01,T19,Decoracion,0.0,0
2022-01-01,T19,Iluminacion,0.0,0
2022-01-01,T19,Muebles,0.0,0
2022-01-01,T19,Organizacion,41191.64,1
2022-01-01,T19,Textil hogar,0.0,0
2022-01-01,T20,Baño,0.0,0
2022-01-01,T20,Cocina y mesa,0.0,0
2022-01-01,T20,Decoracion,0.0,0
2022-01-01,T20,Iluminacion,0.0,0
2022-01-01,T20,Muebles,0.0,0
2022-01-01,T20,Organizacion,0.0,0
2022-01-01,T20,Textil hogar,0.0,0
2022-01-01,T21,Baño,0.0,0
2022-01-01,T21,Cocina y mesa,0.0,0
2022-01-01,T21,Decoracion,0.0,0
2022-01-01,T21,Iluminacion,0.0,0
2022-01-01,T21,Muebles,0.0,0
2022-01-01,T21,Organizacion,87015.75,2
2022-01-01,T21,Textil hogar,0.0,0
2022-01-01,T22,Baño,0.0,0
2022-01-01,T22,Cocina y mesa,0.0,0
2022-01-01,T22,Decoracion,0.0,0
2022-01-01,T22,Iluminacion,0.0,0
2022-01-01,T22,Muebles,0.0,0
2022-01-01,T22,Organizacion,0.0,0
2022-01-01,T22,Textil hogar,0.0,0
2022-01-01,T23,Baño,0.0,0
2022-01-01,T23,Cocina y mesa,0.0,0
2022-01-01,T23,Decoracion,0.0,0
2022-01-01,T23,Iluminacion,0.0,0
2022-01-01,T23,Muebles,0.0,0
2022-01-01,T23,Organizacion,0.0,0
2022-01-01,T23,Textil hogar,0.0,0
2022-01-01,T24,Baño,0.0,0
2022-01-01,T24,Cocina y mesa,0.0,0
2022-01-01,T24,Decoracion,0.0,0
2022-01-01,T24,Iluminacion,0.0,0
2022-01-01,T24,Muebles,0.0,0
2022-01-01,T24,Organizacion,46578.16,1
2022-01-01,T24,Textil hogar,0.0,0
2022-01-01,T25,Baño,0.0,0
2022-01-01,T25,Cocina y mesa,0.0,0
2022-01-01,T25,Decoracion,0.0,0
2022-01-01,T25,Iluminacion,0.0,0
2022-01-01,T25,Muebles,0.0,0
2022-01-01,T25,Organizacion,0.0,0
2022-01-01,T25,Textil hogar,0.0,0
2022-01-01,T26,Baño,0.0,0
2022-01-01,T26,Cocina y mesa,0.0,0
2022-01-01,T26,Decoracion,0.0,0
2022-01-01,T26,Iluminacion,0.0,0
2022-01-01,T26,Muebles,0.0,0
2022-01-01,T26,Organizacion,0.0,0
2022-01-01,T26,Textil hogar,0.0,0
2022-01-01,T27,Baño,0.0,0
2022-01-01,T27,Cocina y mesa,0.0,0
2022-01-01,T27,Decoracion,0.0,0
2022-01-01,T27,Iluminacion,0.0,0
2022-01-01,T27,Muebles,0.0,0
2022-01-01,T27,Organizacion,0.0,0
2022-01-01,T27,Textil hogar,0.0,0
2022-01-01,T28,Baño,0.0,0
2022-01-01,T28,Cocina y mesa,0.0,0
2022-01-01,T28,Decoracion,0.0,0
2022-01-01,T28,Iluminacion,0.0,0
2022-01-01,T28,Muebles,0.0,0
2022-01-01,T28,Organizacion,0.0,0
2022-01-01,T28,Textil hogar,0.0,0
2022-02-01,T01,Baño,0.0,0
2022-02-01,T01,Cocina y mesa,0.0,0
2022-02-01,T01,Decoracion,0.0,0
2022-02-01,T01,Iluminacion,0.0,0
2022-02-01,T01,Muebles,358150.99,5
2022-02-01,T01,Organizacion,0.0,0
2022-02-01,T01,Textil hogar,14651.43,5
2022-02-01,T02,Baño,0.0,0
2022-02-01,T02,Cocina y mesa,0.0,0
2022-02-01,T02,Decoracion,0.0,0
2022-02-01,T02,Iluminacion,118542.41,2
2022-02-01,T02,Muebles,174820.19,2
2022-02-01,T02,Organizacion,0.0,0
2022-02-01,T02,Textil hogar,99012.63,6
2022-02-01,T03,Baño,466632.65,8
2022-02-01,T03,Cocina y mesa,0.0,0
2022-02-01,T03,Decoracion,0.0,0
2022-02-01,T03,Iluminacion,128511.3,4
2022-02-01,T03,Muebles,455107.02,6
2022-02-01,T03,Organizacion,0.0,0
2022-02-01,T03,Textil hogar,8015.13,3
2022-02-01,T04,Baño,0.0,0
2022-02-01,T04,Cocina y mesa,0.0,0
2022-02-01,T04,Decoracion,0.0,0
2022-02-01,T04,Iluminacion,164668.99,3
2022-02-01,T04,Muebles,577518.4,8
2022-02-01,T04,Organizacion,0.0,0
2022-02-01,T04,Textil hogar,33741.89,3
2022-02-01,T05,Baño,85853.23,1
2022-02-01,T05,Cocina y mesa,0.0,0
2022-02-01,T05,Decoracion,0.0,0
2022-02-01,T05,Iluminacion,163263.5,3
2022-02-01,T05,Muebles,86714.01,1
2022-02-01,T05,Organizacion,0.0,0
2022-02-01,T05,Textil hogar,296118.34,8
2022-02-01,T06,Baño,194280.38,3
2022-02-01,T06,Cocina y mesa,0.0,0
2022-02-01,T06,Decoracion,0.0,0
2022-02-01,T06,Iluminacion,555852.02,11
2022-02-01,T06,Muebles,336611.55,4
2022-02-01,T06,Organizacion,0.0,0
2022-02-01,T06,Textil hogar,169758.64,3
2022-02-01,T07,Baño,208563.6,6
2022-02-01,T07,Cocina y mesa,90006.25,3
2022-02-01,T07,Decoracion,0.0,0
2022-02-01,T07,Iluminacion,196080.06,5
2022-02-01,T07,Muebles,240855.62,3
2022-02-01,T07,Organizacion,0.0,0
2022-02-01,T07,Textil hogar,0.0,0
2022-02-01,T08,Baño,435233.68,9
2022-02-01,T08,Cocina y mesa,0.0,0
2022-02-01,T08,Decoracion,0.0,0
2022-02-01,T08,Iluminacion,214940.92,8
2022-02-01,T08,Muebles,31435.25,1
2022-02-01,T08,Organizacion,192727.35,4
2022-02-01,T08,Textil hogar,9413.89,3
2022-02-01,T09,Baño,83241.62,2
2022-02-01,T09,Cocina y mesa,223475.06,8
2022-02-01,T09,Decoracion,0.0,0
2022-02-01,T09,Iluminacion,193150.73,5
2022-02-01,T09,Muebles,173047.52,2
2022-02-01,T09,Organizacion,0.0,0
2022-02-01,T09,Textil hogar,211569.3,8
2022-02-01,T10,Baño,159362.27,2
2022-02-01,T10,Cocina y mesa,47560.65,1
2022-02-01,T10,Decoracion,0.0,0
2022-02-01,T10,Iluminacion,461516.89,10
2022-02-01,T10,Muebles,547264.02,7
2022-02-01,T10,Organizacion,0.0,0
2022-02-01,T10,Textil hogar,26187.06,1
2022-02-01,T11,Baño,0.0,0
2022-02-01,T11,Cocina y mesa,0.0,0
2022-02-01,T11,Decoracion,0.0,0
2022-02-01,T11,Iluminacion,507429.11,11
2022-02-01,T11,Muebles,97630.05,2
2022-02-01,T11,Organizacion,0.0,0
2022-02-01,T11,Textil hogar,212443.06,10
2022-02-01,T12,Baño,163217.26,3
2022-02-01,T12,Cocina y mesa,0.0,0
2022-02-01,T12,Decoracion,0.0,0
2022-02-01,T12,Iluminacion,112237.42,2
2022-02-01,T12,Muebles,283770.57,3
2022-02-01,T12,Organizacion,88859.94,2
2022-02-01,T12,Textil hogar,49331.78,1
2022-02-01,T13,Baño,255986.58,7
2022-02-01,T13,Cocina y mesa,61881.78,2
2022-02-01,T13,Decoracion,0.0,0
2022-02-01,T13,Iluminacion,272806.65,6
2022-02-01,T13,Muebles,595702.76,10
2022-02-01,T13,Organizacion,141488.58,3
2022-02-01,T13,Textil hogar,87462.58,2
2022-02-01,T14,Baño,0.0,0
2022-02-01,T14,Cocina y mesa,92367.75,3
2022-02-01,T14,Decoracion,0.0,0
2022-02-01,T14,Iluminacion,247903.26,6
2022-02-01,T14,Muebles,27482.17,3
2022-02-01,T14,Organizacion,125393.35,3
2022-02-01,T14,Textil hogar,11531.1,5
2022-02-01,T15,Baño,0.0,0
2022-02-01,T15,Cocina y mesa,58034.82,2
2022-02-01,T15,Decoracion,0.0,0
2022-02-01,T15,Iluminacion,142012.95,5
2022-02-01,T15,Muebles,159602.69,2
2022-02-01,T15,Organizacion,82908.15,2
2022-02-01,T15,Textil hogar,173743.32,6
2022-02-01,T16,Baño,176412.13,2
2022-02-01,T16,Cocina y mesa,0.0,0
2022-02-01,T16,Decoracion,0.0,0
2022-02-01,T16,Iluminacion,414465.22,9
2022-02-01,T16,Muebles,322486.88,4
2022-02-01,T16,Organizacion,0.0,0
2022-02-01,T16,Textil hogar,5644.65,2
2022-02-01,T17,Baño,37879.93,1
2022-02-01,T17,Cocina y mesa,0.0,0
2022-02-01,T17,Decoracion,0.0,0
2022-02-01,T17,Iluminacion,153358.27,3
2022-02-01,T17,Muebles,342651.53,5
2022-02-01,T17,Organizacion,100491.09,2
2022-02-01,T17,Textil hogar,283780.75,11
2022-02-01,T18,Baño,85452.01,2
2022-02-01,T18,Cocina y mesa,60243.73,2
2022-02-01,T18,Decoracion,0.0,0
2022-02-01,T18,Iluminacion,400243.64,8
2022-02-01,T18,Muebles,94925.67,2
2022-02-01,T18,Organizacion,0.0,0
2022-02-01,T18,Textil hogar,89088.51,1
2022-02-01,T19,Baño,493583.71,7
2022-02-01,T19,Cocina y mesa,0.0,0
2022-02-01,T19,Decoracion,0.0,0
2022-02-01,T19,Iluminacion,186144.66,4
2022-02-01,T19,Muebles,0.0,0
2022-02-01,T19,Organizacion,0.0,0
2022-02-01,T19,Textil hogar,38131.2,5
2022-02-01,T20,Baño,0.0,0
2022-02-01,T20,Cocina y mesa,0.0,0
2022-02-01,T20,Decoracion,0.0,0
2022-02-01,T20,Iluminacion,0.0,0
2022-02-01,T20,Muebles,370472.4,5
2022-02-01,T20,Organizacion,0.0,0
2022-02-01,T20,Textil hogar,0.0,0
2022-02-01,T21,Baño,528933.24,11
2022-02-01,T21,Cocina y mesa,101135.16,3
2022-02-01,T21,Decoracion,0.0,0
2022-02-01,T21,Iluminacion,0.0,0
2022-02-01,T21,Muebles,331746.94,4
2022-02-01,T21,Organizacion,0.0,0
2022-02-01,T21,Textil hogar,460055.34,13
2022-02-01,T22,Baño,402190.63,9
2022-02-01,T22,Cocina y mesa,91680.21,3
2022-02-01,T22,Decoracion,0.0,0
2022-02-01,T22,Iluminacion,89813.45,3
2022-02-01,T22,Muebles,0.0,0
2022-02-01,T22,Organizacion,0.0,0
2022-02-01,T22,Textil hogar,223660.11,3
2022-02-01,T23,Baño,269131.14,4
2022-02-01,T23,Cocina y mesa,0.0,0
2022-02-01,T23,Decoracion,0.0,0
2022-02-01,T23,Iluminacion,201286.42,5
2022-02-01,T23,Muebles,83198.49,2
2022-02-01,T23,Organizacion,0.0,0
2022-02-01,T23,Textil hogar,17768.39,6
2022-02-01,T24,Baño,78943.55,2
2022-02-01,T24,Cocina y mesa,150135.32,6
2022-02-01,T24,Decoracion,0.0,0
2022-02-01,T24,Iluminacion,229614.82,4
2022-02-01,T24,Muebles,98689.89,2
2022-02-01,T24,Organizacion,0.0,0
2022-02-01,T24,Textil hogar,140524.39,2
2022-02-01,T25,Baño,195694.76,6
2022-02-01,T25,Cocina y mesa,0.0,0
2022-02-01,T25,Decoracion,0.0,0
2022-02-01,T25,Iluminacion,0.0,0
2022-02-01,T25,Muebles,249591.93,5
2022-02-01,T25,Organizacion,0.0,0
2022-02-01,T25,Textil hogar,270600.73,8
2022-02-01,T26,Baño,152785.31,3
2022-02-01,T26,Cocina y mesa,55850.46,2
2022-02-01,T26,Decoracion,0.0,0
2022-02-01,T26,Iluminacion,69630.9,2
2022-02-01,T26,Muebles,90123.79,3
2022-02-01,T26,Organizacion,105464.49,2
2022-02-01,T26,Textil hogar,0.0,0
2022-02-01,T27,Baño,94204.01,1
2022-02-01,T27,Cocina y mesa,0.0,0
2022-02-01,T27,Decoracion,0.0,0
2022-02-01,T27,Iluminacion,798813.95,16
2022-02-01,T27,Muebles,761744.77,10
2022-02-01,T27,Organizacion,0.0,0
2022-02-01,T27,Textil hogar,164427.97,3
2022-02-01,T28,Baño,200992.2,5
2022-02-01,T28,Cocina y mesa,42134.76,1
2022-02-01,T28,Decoracion,0.0,0
2022-02-01,T28,Iluminacion,548138.58,13
2022-02-01,T28,Muebles,632551.36,10
2022-02-01,T28,Organizacion,0.0,0
2022-02-01,T28,Textil hogar,56643.48,1
2022-03-01,T01,Baño,331273.69,8
2022-03-01,T01,Cocina y mesa,5676.77,1
2022-03-01,T01,Decoracion,119975.67,12
2022-03-01,T01,Iluminacion,61611.61,3
2022-03-01,T01,Muebles,622518.35,9
2022-03-01,T01,Organizacion,0.0,0
2022-03-01,T01,Textil hogar,10304.64,4
2022-03-01,T02,Baño,175310.35,8
2022-03-01,T02,Cocina y mesa,83133.53,2
2022-03-01,T02,Decoracion,54086.37,5
2022-03-01,T02,Iluminacion,0.0,0
2022-03-01,T02,Muebles,891248.77,12
2022-03-01,T02,Organizacion,0.0,0
2022-03-01,T02,Textil hogar,182998.03,14
2022-03-01,T03,Baño,78456.21,1
2022-03-01,T03,Cocina y mesa,0.0,0
2022-03-01,T03,Decoracion,0.0,0
2022-03-01,T03,Iluminacion,224821.19,6
2022-03-01,T03,Muebles,1068309.28,14
2022-03-01,T03,Organizacion,0.0,0
2022-03-01,T03,Textil hogar,12017.34,4
2022-03-01,T04,Baño,106197.5,4
2022-03-01,T04,Cocina y mesa,0.0,0
2022-03-01,T04,Decoracion,126675.86,11
2022-03-01,T04,Iluminacion,266523.16,6
2022-03-01,T04,Muebles,706507.1,9
2022-03-01,T04,Organizacion,246359.78,8
2022-03-01,T04,Textil hogar,14555.37,5
2022-03-01,T05,Baño,120214.36,6
2022-03-01,T05,Cocina y mesa,10591.57,2
2022-03-01,T05,Decoracion,63041.09,6
2022-03-01,T05,Iluminacion,175258.13,3
2022-03-01,T05,Muebles,238413.68,7
2022-03-01,T05,Organizacion,193814.93,4
2022-03-01,T05,Textil hogar,263139.54,5
2022-03-01,T06,Baño,402027.02,11
2022-03-01,T06,Cocina y mesa,0.0,0
2022-03-01,T06,Decoracion,76890.44,7
2022-03-01,T06,Iluminacion,357978.18,9
2022-03-01,T06,Muebles,358736.9,7
2022-03-01,T06,Organizacion,109694.37,3
2022-03-01,T06,Textil hogar,200250.13,12
2022-03-01,T07,Baño,210428.8,8
2022-03-01,T07,Cocina y mesa,177741.92,6
2022-03-01,T07,Decoracion,0.0,0
2022-03-01,T07,Iluminacion,115129.59,3
2022-03-01,T07,Muebles,702310.62,9
2022-03-01,T07,Organizacion,182907.64,6
2022-03-01,T07,Textil hogar,28555.12,1
2022-03-01,T08,Baño,169389.84,3
2022-03-01,T08,Cocina y mesa,0.0,0
2022-03-01,T08,Decoracion,50870.52,5
2022-03-01,T08,Iluminacion,458892.84,12
2022-03-01,T08,Muebles,441507.27,10
2022-03-01,T08,Organizacion,36672.88,1
2022-03-01,T08,Textil hogar,10859.26,4
2022-03-01,T09,Baño,136622.12,5
2022-03-01,T09,Cocina y mesa,162185.78,6
2022-03-01,T09,Decoracion,0.0,0
2022-03-01,T09,Iluminacion,472410.79,13
2022-03-01,T09,Muebles,339711.79,5
2022-03-01,T09,Organizacion,55652.54,1
2022-03-01,T09,Textil hogar,258418.52,11
2022-03-01,T10,Baño,585934.89,15
2022-03-01,T10,Cocina y mesa,0.0,0
2022-03-01,T10,Decoracion,181734.0,12
2022-03-01,T10,Iluminacion,585700.79,13
2022-03-01,T10,Muebles,1045831.1,14
2022-03-01,T10,Organizacion,45448.87,2
2022-03-01,T10,Textil hogar,0.0,0
2022-03-01,T11,Baño,563989.11,17
2022-03-01,T11,Cocina y mesa,11722.32,2
2022-03-01,T11,Decoracion,0.0,0
2022-03-01,T11,Iluminacion,289689.38,6
2022-03-01,T11,Muebles,515966.96,6
2022-03-01,T11,Organizacion,162508.06,4
2022-03-01,T11,Textil hogar,97756.0,8
2022-03-01,T12,Baño,563306.67,16
2022-03-01,T12,Cocina y mesa,18149.96,3
2022-03-01,T12,Decoracion,0.0,0
2022-03-01,T12,Iluminacion,175896.55,3
2022-03-01,T12,Muebles,361731.07,5
2022-03-01,T12,Organizacion,201899.57,7
2022-03-01,T12,Textil hogar,101783.93,2
2022-03-01,T13,Baño,234579.43,10
2022-03-01,T13,Cocina y mesa,0.0,0
2022-03-01,T13,Decoracion,112663.07,11
2022-03-01,T13,Iluminacion,144780.91,3
2022-03-01,T13,Muebles,534614.76,12
2022-03-01,T13,Organizacion,379976.74,9
2022-03-01,T13,Textil hogar,182574.56,3
2022-03-01,T14,Baño,17058.45,1
2022-03-01,T14,Cocina y mesa,32252.72,1
2022-03-01,T14,Decoracion,0.0,0
2022-03-01,T14,Iluminacion,293140.06,7
2022-03-01,T14,Muebles,113277.22,4
2022-03-01,T14,Organizacion,88284.52,3
2022-03-01,T14,Textil hogar,5812.86,2
2022-03-01,T15,Baño,16976.29,1
2022-03-01,T15,Cocina y mesa,89246.2,5
2022-03-01,T15,Decoracion,75058.72,7
2022-03-01,T15,Iluminacion,189315.13,6
2022-03-01,T15,Muebles,143488.16,2
2022-03-01,T15,Organizacion,21173.12,1
2022-03-01,T15,Textil hogar,118860.91,10
2022-03-01,T16,Baño,156251.75,9
2022-03-01,T16,Cocina y mesa,10772.2,2
2022-03-01,T16,Decoracion,0.0,0
2022-03-01,T16,Iluminacion,708403.78,16
2022-03-01,T16,Muebles,454182.06,6
2022-03-01,T16,Organizacion,0.0,0
2022-03-01,T16,Textil hogar,9029.07,3
2022-03-01,T17,Baño,39267.15,1
2022-03-01,T17,Cocina y mesa,11244.6,2
2022-03-01,T17,Decoracion,96925.4,9
2022-03-01,T17,Iluminacion,238797.15,5
2022-03-01,T17,Muebles,527449.35,6
2022-03-01,T17,Organizacion,114643.73,3
2022-03-01,T17,Textil hogar,14378.65,6
2022-03-01,T18,Baño,296006.56,11
2022-03-01,T18,Cocina y mesa,90768.98,4
2022-03-01,T18,Decoracion,198526.72,14
2022-03-01,T18,Iluminacion,361295.45,10
2022-03-01,T18,Muebles,200651.1,4
2022-03-01,T18,Organizacion,47717.97,2
2022-03-01,T18,Textil hogar,152321.83,2
2022-03-01,T19,Baño,289421.52,8
2022-03-01,T19,Cocina y mesa,0.0,0
2022-03-01,T19,Decoracion,34969.67,1
2022-03-01,T19,Iluminacion,258314.04,7
2022-03-01,T19,Muebles,227126.65,3
2022-03-01,T19,Organizacion,222767.63,7
2022-03-01,T19,Textil hogar,144672.98,3
2022-03-01,T20,Baño,54706.31,3
2022-03-01,T20,Cocina y mesa,86321.21,2
2022-03-01,T20,Decoracion,0.0,0
2022-03-01,T20,Iluminacion,193891.35,4
2022-03-01,T20,Muebles,682151.5,8
2022-03-01,T20,Organizacion,0.0,0
2022-03-01,T20,Textil hogar,0.0,0
2022-03-01,T21,Baño,270820.75,8
2022-03-01,T21,Cocina y mesa,249093.34,8
2022-03-01,T21,Decoracion,37814.52,1
2022-03-01,T21,Iluminacion,203414.83,4
2022-03-01,T21,Muebles,340469.18,4
2022-03-01,T21,Organizacion,46952.36,2
2022-03-01,T21,Textil hogar,83730.87,2
2022-03-01,T22,Baño,434378.77,8
2022-03-01,T22,Cocina y mesa,190276.29,7
2022-03-01,T22,Decoracion,161216.15,10
2022-03-01,T22,Iluminacion,216870.14,5
2022-03-01,T22,Muebles,82030.28,1
2022-03-01,T22,Organizacion,0.0,0
2022-03-01,T22,Textil hogar,85087.66,1
2022-03-01,T23,Baño,72673.76,5
2022-03-01,T23,Cocina y mesa,10655.51,2
2022-03-01,T23,Decoracion,185943.49,12
2022-03-01,T23,Iluminacion,469252.02,10
2022-03-01,T23,Muebles,530042.84,6
2022-03-01,T23,Organizacion,41868.43,1
2022-03-01,T23,Textil hogar,94892.3,7
2022-03-01,T24,Baño,156295.81,6
2022-03-01,T24,Cocina y mesa,55798.26,2
2022-03-01,T24,Decoracion,0.0,0
2022-03-01,T24,Iluminacion,183658.67,3
2022-03-01,T24,Muebles,185742.67,2
