id_producto,categoria,subcategoria,proveedor,costo_unitario,precio_lista,fecha_alta_catalogo,fecha_baja_catalogo,estado
SKU00001,Baño,Alfombras de baño,Proveedor H,8120.0,17900.0,2023-08-01,,Activo
SKU00002,Iluminacion,Lamparas de mesa,Proveedor C,25470.0,42800.0,2023-12-16,,Activo
SKU00003,Baño,Alfombras de baño,Proveedor C,,39000.0,2025-03-25,2025-08-02,Discontinuado
SKU00004,Iluminacion,Guirnaldas,Proveedor A,1700.0,3100.0,2023-10-11,,Activo
SKU00005,Organizacion,Percheros,Proveedor J,52650.0,84900.0,2024-01-20,,Activo
SKU00006,Decoracion,Cuadros,Proveedor D,31230.0,66200.0,2022-08-24,,Activo
SKU00007,Iluminacion,Apliques,Proveedor H,50150.0,80700.0,2023-10-16,,Activo
SKU00008,Cocina y mesa,Cristaleria,Proveedor E,9510.0,16500.0,2024-03-14,,Activo
SKU00009,Decoracion,Plantas artificiales,Proveedor G,1800.0,3800.0,2024-10-08,,Activo
SKU00010,Muebles,Sillas,Proveedor E,14350.0,29800.0,2022-05-01,,Activo
SKU00011,Cocina y mesa,Cubiertos,Proveedor A,42220.0,68800.0,2023-01-23,2023-04-30,Discontinuado
SKU00012,Organizacion,Percheros,Proveedor G,16590.0,32300.0,2024-10-30,2025-08-22,Discontinuado
SKU00013,Decoracion,Velas,Proveedor A,5510.0,11800.0,2022-02-23,,Activo
SKU00014,Muebles,Racks,Proveedor G,36870.0,64700.0,2025-06-07,2025-12-23,Discontinuado
SKU00015,Cocina y mesa,Vajilla,Proveedor E,3770.0,6900.0,2024-04-14,,Activo
SKU00016,Muebles,Sillas,Proveedor C,23110.0,37300.0,2024-02-25,,Activo
SKU00017,Textil hogar,Sabanas,Proveedor H,37190.0,65200.0,2022-07-20,2022-08-07,Discontinuado
SKU00018,Baño,Accesorios de baño,Proveedor C,32370.0,50600.0,2023-11-06,,Activo
SKU00019,Organizacion,Percheros,Proveedor G,45960.0,88800.0,2022-03-17,,Activo
SKU00020,Textil hogar,Cortinas,Proveedor A,14070.0,23100.0,2022-08-31,2023-06-21,Discontinuado
SKU00021,Iluminacion,Guirnaldas,Proveedor J,3970.0,7600.0,2022-02-08,2023-11-29,Discontinuado
SKU00022,Cocina y mesa,Cubiertos,Proveedor A,4210.0,8200.0,2023-07-17,,Activo
SKU00023,Organizacion,Percheros,Proveedor G,4170.0,8200.0,2024-12-10,2025-06-28,Discontinuado
SKU00024,Decoración,Velas,Proveedor F,45120.0,71500.0,2024-03-28,,Activo
SKU00025,Textil hogar,Acolchados,Proveedor C,40380.0,71800.0,2023-09-30,,Activo
SKU00026,Cocina y mesa,Cristaleria,Proveedor E,29350.0,56200.0,2024-04-25,,Activo
SKU00027,Iluminacion,Lamparas de mesa,Proveedor D,9080.0,16900.0,2023-08-07,2024-04-06,Discontinuado
SKU00028,Decoracion,Plantas artificiales,Proveedor J,,66500.0,2025-06-27,2025-12-30,Discontinuado
SKU00029,Baño,Cortinas de baño,Proveedor D,2300.0,3800.0,2024-12-08,,Activo
SKU00030,Organizacion,Percheros,Proveedor J,16760.0,28400.0,2024-06-22,,Activo
SKU00031,Baño,Alfombras de baño,Proveedor B,42460.0,66700.0,2023-02-07,2023-10-07,Discontinuado
SKU00032,Decoracion,Cuadros,Proveedor D,19410.0,37200.0,2023-01-04,,Activo
SKU00033,Textil hogar,Acolchados,Proveedor A,44010.0,73000.0,2022-03-31,2025-02-13,Discontinuado
SKU00034,Baño,Accesorios de baño,Proveedor B,36360.0,59400.0,2023-05-26,,Activo
SKU00035,Muebles,Estanterias,Proveedor I,37530.0,58500.0,2024-12-16,,Activo
SKU00036,Textil hogar,Sabanas,Proveedor H,18770.0,31400.0,2023-05-09,,Activo
SKU00037,DECO,Cuadros,Proveedor B,44240.0,85600.0,2025-05-07,,Activo
SKU00038,Cocina y mesa,Vajilla,Proveedor B,29190.0,55800.0,2024-12-17,,Activo
SKU00039,Organizacion,Cajas,Proveedor C,19810.0,42600.0,2022-01-01,,Activo
SKU00040,Muebles,Estanterias,Proveedor B,2230.0,3700.0,2022-09-25,,Activo
SKU00041,Muebles,Racks,Proveedor A,24020.0,41800.0,2025-03-07,,Activo
SKU00042,Decoracion,Plantas artificiales,Proveedor A,35810.0,67100.0,2023-08-23,,Activo
SKU00043,Textil hogar,Sabanas,Proveedor G,16640.0,34400.0,2025-06-04,,Activo
SKU00044,Decoracion,Plantas artificiales,Proveedor I,44330.0,71900.0,2023-05-23,2023-07-31,Discontinuado
SKU00045,Textil hogar,Sabanas,Proveedor D,41630.0,66600.0,2024-03-14,,Activo
SKU00046,Textil hogar,Acolchados,Proveedor A,34760.0,59000.0,2024-09-20,,Activo
SKU00047,Textil hogar,Toallas,Proveedor F,11470.0,19000.0,2022-12-11,,Activo
SKU00048,Baño,Accesorios de baño,Proveedor F,16880.0,31400.0,2022-04-22,,Activo
