fecha_mes,id_producto,stock_disponible
2022-01-01,SKU00039,15
2022-02-01,SKU00039,27
2022-02-01,SKU00109,11
2022-02-01,SKU00122,26
2022-02-01,SKU00125,33
2022-02-01,SKU00165,47
2022-02-01,SKU00203,30
2022-02-01,SKU00217,15
2022-02-01,SKU00311,94
2022-02-01,SKU00350,28
2022-02-01,SKU00378,25
2022-02-01,SKU00407,71
2022-02-01,SKU00421,69
2022-02-01,SKU00452,6
2022-02-01,SKU00660,22
2022-02-01,SKU00675,45
2022-02-01,SKU00708,75
2022-02-01,SKU00713,0
2022-02-01,SKU00750,69
2022-02-01,SKU00756,118
2022-03-01,SKU00013,249
2022-03-01,SKU00021,19
2022-03-01,SKU00039,28
2022-03-01,SKU00109,27
2022-03-01,SKU00121,62
2022-03-01,SKU00122,30
2022-03-01,SKU00125,22
2022-03-01,SKU00157,24
2022-03-01,SKU00165,38
2022-03-01,SKU00203,29
2022-03-01,SKU00209,128
2022-03-01,SKU00217,32
2022-03-01,SKU00256,92
2022-03-01,SKU00289,36
2022-03-01,SKU00311,139
2022-03-01,SKU00350,31
2022-03-01,SKU00361,22
2022-03-01,SKU00378,22
2022-03-01,SKU00407,133
2022-03-01,SKU00421,86
2022-03-01,SKU00439,5
2022-03-01,SKU00452,10
2022-03-01,SKU00454,48
2022-03-01,SKU00500,54
2022-03-01,SKU00631,25
2022-03-01,SKU00660,24
2022-03-01,SKU00675,40
2022-03-01,SKU00708,32
2022-03-01,SKU00713,13
2022-03-01,SKU00750,94
2022-03-01,SKU00756,82
2022-04-01,SKU00013,285
2022-04-01,SKU00019,49
2022-04-01,SKU00021,30
2022-04-01,SKU00033,30
2022-04-01,SKU00039,24
2022-04-01,SKU00054,32
2022-04-01,SKU00109,23
2022-04-01,SKU00121,92
2022-04-01,SKU00122,27
2022-04-01,SKU00125,19
2022-04-01,SKU00157,63
2022-04-01,SKU00165,37
2022-04-01,SKU00203,24
2022-04-01,SKU00209,51
2022-04-01,SKU00217,32
2022-04-01,SKU00256,40
2022-04-01,SKU00289,4
2022-04-01,SKU00296,213
2022-04-01,SKU00311,170
2022-04-01,SKU00350,14
2022-04-01,SKU00360,34
2022-04-01,SKU00361,45
2022-04-01,SKU00378,15
2022-04-01,SKU00404,41
2022-04-01,SKU00407,88
2022-04-01,SKU00421,130
2022-04-01,SKU00424,36
2022-04-01,SKU00439,25
2022-04-01,SKU00444,73
2022-04-01,SKU00452,21
2022-04-01,SKU00454,58
2022-04-01,SKU00460,170
2022-04-01,SKU00477,63
2022-04-01,SKU00500,39
2022-04-01,SKU00501,7
2022-04-01,SKU00621,8
2022-04-01,SKU00627,72
2022-04-01,SKU00631,10
2022-04-01,SKU00651,131
2022-04-01,SKU00660,41
2022-04-01,SKU00675,54
2022-04-01,SKU00708,62
2022-04-01,SKU00713,4
2022-04-01,SKU00750,47
2022-04-01,SKU00756,71
2022-05-01,SKU00010,49
2022-05-01,SKU00013,186
2022-05-01,SKU00019,85
2022-05-01,SKU00021,36
