id_liquidacion,id_producto,tienda,fecha_inicio,fecha_fin,descuento_pct,motivo
LIQ0001,SKU00675,T23,2023-10-20,2023-12-04,10,Fin de temporada
LIQ0002,SKU00088,T28,2022-12-01,2023-01-15,40,Sobrestock
LIQ0003,SKU00124,T18,2024-06-30,2024-08-14,10,Baja rotacion
LIQ0004,SKU00188,T22,2024-01-05,2024-02-04,25,Baja rotacion
LIQ0005,SKU00564,T07,2025-12-18,2026-01-02,15,Sobrestock
LIQ0006,SKU00471,T26,2025-12-05,2026-02-03,15,Baja rotacion
LIQ0007,SKU00290,T12,2025-08-04,2025-09-18,40,Fin de temporada
LIQ0008,SKU00376,T21,2024-06-23,2024-07-08,50,Sobrestock
LIQ0009,SKU00646,T25,2025-09-25,2025-11-24,20,Sobrestock
LIQ0010,SKU00666,T05,2022-12-12,2022-12-27,40,Sobrestock
LIQ0011,SKU00311,T15,2023-07-30,2023-08-14,10,Sobrestock
LIQ0012,SKU00097,Todas,2025-05-16,2025-06-30,40,Sobrestock
LIQ0013,SKU00047,T05,2025-05-26,2025-06-25,20,Baja rotacion
LIQ0014,SKU00481,T12,2022-12-19,2023-01-18,40,Discontinuacion
LIQ0015,SKU00149,T13,2024-10-31,2024-11-30,20,Sobrestock
LIQ0016,SKU00005,T05,2024-12-17,2025-01-16,10,Fin de temporada
LIQ0017,SKU00450,T15,2024-01-16,2024-01-31,30,Baja rotacion
LIQ0018,SKU00455,T20,2023-11-18,2024-01-02,50,Baja rotacion
LIQ0019,SKU00707,T21,2025-04-22,2025-06-06,15,Baja rotacion
LIQ0020,SKU00533,T11,2024-04-27,2024-06-11,40,Sobrestock
LIQ0021,SKU00703,T13,2024-04-03,2024-05-18,15,Discontinuacion
LIQ0022,SKU00165,T02,2023-01-31,2023-03-02,30,Fin de temporada
LIQ0023,SKU00562,T03,2024-10-27,2024-12-26,40,Fin de temporada
LIQ0024,SKU00476,T07,2023-10-20,2023-11-19,20,Sobrestock
LIQ0025,SKU00406,T16,2025-02-25,2025-04-26,15,Fin de temporada
LIQ0026,SKU00789,T27,2023-01-15,2023-01-30,25,Discontinuacion
LIQ0027,SKU00431,T09,2025-04-07,2025-05-22,15,Baja rotacion
LIQ0028,SKU00501,T12,2022-10-05,2022-10-20,15,Fin de temporada
LIQ0029,SKU00189,T04,2025-11-15,2025-12-15,50,Fin de temporada
LIQ0030,SKU00593,T16,2024-12-13,2025-01-12,10,Discontinuacion
LIQ0031,SKU00301,T21,2024-05-17,2024-06-16,50,Baja rotacion
LIQ0032,SKU00382,T25,2024-10-25,2024-12-24,25,Fin de temporada
LIQ0033,SKU00026,T27,2025-05-13,2025-06-27,40,Fin de temporada
LIQ0034,SKU00457,T03,2025-03-06,2025-05-05,25,Discontinuacion
LIQ0035,SKU00093,T16,2025-05-21,2025-06-05,25,Baja rotacion
LIQ0036,SKU00735,T21,2025-05-09,2025-06-08,20,Fin de temporada
