id_oc,proveedor,id_producto,fecha_pedido,fecha_recepcion,unidades,costo_unitario_ars
OC00001,Proveedor A,SKU00235,2026-07-14,2026-08-20,147,11822.78
OC00002,Proveedor B,SKU00383,2024-03-13,2024-04-27,576,26260.29
OC00003,Proveedor H,SKU00007,2025-04-24,2025-05-08,36,52194.29
OC00004,Proveedor D,SKU00656,2026-04-08,2026-05-08,306,31749.62
OC00005,Proveedor E,SKU00058,2026-07-17,2026-08-27,193,34617.04
OC00006,Proveedor A,SKU00346,2025-03-03,2025-04-03,147,27618.93
OC00007,Proveedor E,SKU00462,2025-11-21,2025-12-25,193,11767.35
OC00008,Proveedor A,SKU00608,2026-05-18,2026-06-23,147,39265.81
OC00009,Proveedor H,SKU00678,2024-12-26,2025-01-05,108,49696.21
OC00010,Proveedor A,SKU00621,2025-03-15,2025-04-17,294,8726.29
OC00011,Proveedor A,SKU00315,2024-01-31,2024-03-02,147,2175.42
OC00012,Proveedor J,SKU00218,2024-06-25,2024-08-15,155,11744.22
OC00013,Proveedor G,SKU00530,2025-07-30,2025-08-24,21,44482.78
OC00014,Proveedor F,SKU00392,2025-12-10,2026-02-09,104,29506.5
OC00015,Proveedor I,SKU00427,2022-10-11,2022-11-11,182,9187.79
OC00016,Proveedor H,SKU00746,2025-04-10,2025-04-20,72,13692.23
OC00017,Proveedor J,SKU00223,2024-09-17,2024-11-12,155,30597.5
OC00018,Proveedor I,SKU00232,2025-08-01,2025-09-06,364,46760.94
OC00019,Proveedor F,SKU00396,2025-03-21,2025-05-14,104,2714.4
OC00020,Proveedor B,SKU00543,2025-07-27,2025-09-12,192,27059.4
OC00021,Proveedor E,SKU00196,2025-10-06,2025-11-09,193,42310.87
OC00022,Proveedor C,SKU00321,2022-10-06,2022-10-13,35,27965.62
OC00023,Proveedor D,SKU00637,2024-03-09,2024-04-02,153,28921.62
OC00024,Proveedor I,SKU00632,2024-07-22,2024-08-21,364,31188.4
OC00025,Proveedor E,SKU00403,2024-10-14,2024-11-23,386,2746.27
OC00026,Proveedor C,SKU00483,2025-02-19,2025-03-01,35,33273.48
OC00027,Proveedor F,SKU00454,2023-08-01,2023-10-01,52,19267.99
OC00028,Proveedor G,SKU00079,2024-08-22,2024-09-23,21,26258.55
OC00029,Proveedor B,SKU00229,2026-02-02,2026-03-20,192,33032.64
OC00030,Proveedor H,SKU00605,2025-10-27,2025-11-11,36,20335.38
OC00031,Proveedor B,SKU00051,2024-08-28,2024-10-13,192,16342.61
OC00032,Proveedor A,SKU00660,2026-02-02,2026-03-11,147,46322.06
OC00033,Proveedor H,SKU00398,2025-04-19,2025-04-30,36,36292.33
OC00034,Proveedor F,SKU00458,2025-10-31,2025-12-28,52,19039.59
OC00035,Proveedor B,SKU00031,2023-07-18,2023-09-02,192,46091.49
OC00036,Proveedor E,SKU00662,2024-09-27,2024-11-01,579,11250.84
OC00037,Proveedor B,SKU00262,2022-10-25,2022-12-07,192,8431.35
OC00038,Proveedor B,SKU00753,2026-02-05,2026-03-22,192,37187.67
OC00039,Proveedor F,SKU00588,2026-07-02,2026-08-28,52,38333.37
OC00040,Proveedor D,SKU00106,2024-12-14,2025-01-05,153,6802.49
OC00041,Proveedor H,SKU00482,2024-10-11,2024-10-24,36,6244.59
OC00042,Proveedor H,SKU00503,2023-07-20,2023-08-03,72,4061.79
OC00043,Proveedor D,SKU00241,2025-04-30,2025-05-24,153,29938.01
OC00044,Proveedor D,SKU00339,2026-06-16,2026-07-13,153,3512.56
OC00045,Proveedor F,SKU00240,2023-09-21,2023-11-20,52,6812.61
OC00046,Proveedor A,SKU00033,2023-11-10,2023-12-13,294,47389.49
OC00047,Proveedor I,SKU00555,2025-01-04,2025-02-04,182,3438.93
OC00048,Proveedor A,SKU00004,2026-07-19,2026-08-18,441,1629.54
OC00049,Proveedor I,SKU00721,2026-07-15,2026-08-20,364,11513.27
OC00050,Proveedor D,SKU00466,2025-10-07,2025-11-01,153,30670.7
OC00051,Proveedor I,SKU00122,2024-04-30,2024-05-31,182,31175.33
OC00052,Proveedor B,SKU00100,2025-02-01,2025-03-20,192,2486.26
OC00053,Proveedor B,SKU00439,2024-10-25,2024-12-08,192,23945.96
OC00054,Proveedor F,SKU00385,2023-10-23,2023-12-23,52,41420.34
OC00055,Proveedor B,SKU00528,2026-02-18,2026-04-05,192,36075.49
OC00056,Proveedor B,SKU00479,2022-08-12,2022-09-29,192,41118.75
OC00057,Proveedor D,SKU00418,2024-11-16,2024-12-14,459,32912.93
OC00058,Proveedor E,SKU00640,2025-07-29,2025-09-09,579,43682.71
OC00059,Proveedor B,SKU00476,2025-08-24,2025-10-12,192,9989.81
OC00060,Proveedor G,SKU00373,2026-07-29,2026-08-28,21,40882.36
OC00061,Proveedor H,SKU00768,2025-09-22,2025-10-03,72,20016.72
OC00062,Proveedor C,SKU00103,2024-09-19,2024-09-30,35,28676.9
OC00063,Proveedor I,SKU00578,2025-10-19,2025-11-22,182,32283.44
OC00064,Proveedor D,SKU00409,2026-06-02,2026-06-28,153,23411.06
OC00065,Proveedor F,SKU00385,2023-10-21,2023-12-16,52,46562.16
OC00066,Proveedor B,SKU00415,2024-03-27,2024-05-09,192,17044.11
OC00067,Proveedor B,SKU00195,2026-07-20,2026-09-03,192,42166.86
OC00068,Proveedor A,SKU00444,2025-12-09,2026-01-08,147,26903.41
OC00069,Proveedor D,SKU00525,2025-11-12,2025-12-08,306,51351.49
OC00070,Proveedor B,SKU00404,2025-10-07,2025-11-22,192,19162.21
OC00071,Proveedor G,SKU00180,2024-02-06,2024-03-05,42,15620.16
OC00072,Proveedor E,SKU00757,2024-01-29,2024-03-04,193,43560.19
OC00073,Proveedor H,SKU00367,2026-01-25,2026-02-05,36,22262.59
OC00074,Proveedor D,SKU00474,2026-03-23,2026-04-18,153,49166.96
OC00075,Proveedor D,SKU00290,2025-08-26,2025-09-21,153,13999.84
OC00076,Proveedor C,SKU00549,2025-02-16,2025-02-25,70,5947.27
OC00077,Proveedor C,SKU00538,2024-03-16,2024-03-27,35,29612.49
OC00078,Proveedor G,SKU00426,2026-05-08,2026-06-06,21,39887.48
OC00079,Proveedor G,SKU00328,2024-03-19,2024-04-20,21,46711.53
OC00080,Proveedor F,SKU00748,2025-10-15,2025-12-07,52,5315.71
OC00081,Proveedor J,SKU00330,2026-05-10,2026-07-05,155,9970.32
OC00082,Proveedor E,SKU00772,2025-06-21,2025-07-28,193,38573.6
OC00083,Proveedor B,SKU00446,2023-12-25,2024-02-14,192,55698.85
OC00084,Proveedor D,SKU00600,2024-07-21,2024-08-17,153,21837.28
OC00085,Proveedor J,SKU00057,2023-10-10,2023-12-04,155,14516.56
OC00086,Proveedor E,SKU00110,2024-11-24,2025-01-05,193,31279.29
OC00087,Proveedor D,SKU00388,2025-01-14,2025-02-11,153,2936.01
OC00088,Proveedor A,SKU00718,2024-02-03,2024-03-04,147,36936.06
OC00089,Proveedor C,SKU00483,2025-12-09,2025-12-17,35,29266.85
OC00090,Proveedor A,SKU00230,2025-09-01,2025-10-02,147,46552.44
OC00091,Proveedor I,SKU00673,2023-08-17,2023-09-20,182,38400.21
OC00092,Proveedor J,SKU00524,2024-08-12,2024-10-04,155,7642.68
OC00093,Proveedor D,SKU00788,2024-09-12,2024-10-06,306,43406.21
OC00094,Proveedor I,SKU00791,2026-03-06,2026-04-04,182,26059.4
OC00095,Proveedor G,SKU00205,2023-08-09,2023-09-10,21,39035.99
OC00096,Proveedor I,SKU00626,2024-11-05,2024-12-08,182,5655.6
OC00097,Proveedor D,SKU00390,2023-08-31,2023-09-29,153,28950.32
OC00098,Proveedor E,SKU00563,2025-10-29,2025-12-08,193,4078.97
OC00099,Proveedor G,SKU00585,2025-03-12,2025-04-11,42,1778.19
OC00100,Proveedor C,SKU00695,2026-01-25,2026-02-05,35,40600.34
OC00101,Proveedor B,SKU00249,2026-01-18,2026-03-05,384,25234.43
OC00102,Proveedor G,SKU00125,2022-12-16,2023-01-17,42,15236.68
OC00103,Proveedor D,SKU00649,2025-05-10,2025-06-07,153,14236.31
OC00104,Proveedor A,SKU00787,2025-03-17,2025-04-16,147,31309.55
OC00105,Proveedor G,SKU00244,2024-09-20,2024-10-23,21,7083.55
OC00106,Proveedor F,SKU00204,2023-09-06,2023-10-31,52,30037.72
OC00107,Proveedor J,SKU00652,2026-07-03,2026-08-29,155,40917.95
OC00108,Proveedor H,SKU00567,2025-03-29,2025-04-11,36,10101.02
OC00109,Proveedor J,SKU00777,2026-02-01,2026-03-26,310,27135.76
OC00110,Proveedor C,SKU00181,2025-09-23,2025-10-05,35,52871.31
OC00111,Proveedor I,SKU00791,2026-01-25,2026-02-27,182,25007.42
OC00112,Proveedor H,SKU00624,2026-05-18,2026-05-26,36,2103.58
OC00113,Proveedor G,SKU00083,2025-02-09,2025-03-10,21,4817.08
OC00114,Proveedor D,SKU00516,2022-12-04,2022-12-28,459,25022.24
OC00115,Proveedor B,SKU00650,2024-10-24,2024-12-06,192,10253.12
OC00116,Proveedor D,SKU00390,2024-10-22,2024-11-16,153,27996.29
OC00117,Proveedor F,SKU00638,2023-10-28,2023-12-20,52,27945.4
OC00118,Proveedor A,SKU00033,2023-07-09,2023-08-08,147,44046.24
OC00119,Proveedor G,SKU00335,2026-02-10,2026-03-09,63,2538.82
OC00120,Proveedor F,SKU00458,2025-04-13,2025-06-08,52,18986.47
OC00121,Proveedor I,SKU00499,2025-11-06,2025-12-12,546,6527.45
