fecha_mes,id_tienda,id_producto,stock_disponible,stock_en_transito
2023-08-01,T03,SKU00001,24,0
2023-09-01,T03,SKU00001,25,3
2023-10-01,T03,SKU00001,16,1
2023-11-01,T03,SKU00001,-13,2
2023-12-01,T03,SKU00001,6,5
2024-01-01,T03,SKU00001,23,2
2024-02-01,T03,SKU00001,16,4
2024-03-01,T03,SKU00001,13,6
2024-04-01,T03,SKU00001,18,3
2024-05-01,T03,SKU00001,22,2
2024-06-01,T03,SKU00001,19,2
2024-07-01,T03,SKU00001,24,2
2024-08-01,T03,SKU00001,21,5
2024-09-01,T03,SKU00001,17,1
2024-10-01,T03,SKU00001,22,3
2024-11-01,T03,SKU00001,30,2
2024-12-01,T03,SKU00001,24,3
2025-01-01,T03,SKU00001,22,5
2025-02-01,T03,SKU00001,17,3
2025-03-01,T03,SKU00001,14,6
2025-04-01,T03,SKU00001,28,4
2025-05-01,T03,SKU00001,11,4
2025-06-01,T03,SKU00001,14,3
2025-07-01,T03,SKU00001,15,4
2025-08-01,T03,SKU00001,19,2
2025-09-01,T03,SKU00001,14,4
2025-10-01,T03,SKU00001,18,3
2025-11-01,T03,SKU00001,14,5
2025-12-01,T03,SKU00001,23,2
2023-08-01,T11,SKU00001,21,1
2023-09-01,T11,SKU00001,14,4
2023-10-01,T11,SKU00001,18,0
2023-12-01,T11,SKU00001,13,4
2024-01-01,T11,SKU00001,12,4
2024-03-01,T11,SKU00001,14,2
2024-04-01,T11,SKU00001,16,6
2024-05-01,T11,SKU00001,11,1
2024-06-01,T11,SKU00001,11,2
2024-07-01,T11,SKU00001,18,2
2024-08-01,T11,SKU00001,17,2
2024-09-01,T11,SKU00001,-16,1
2024-10-01,T11,SKU00001,9,3
2024-11-01,T11,SKU00001,24,3
2025-01-01,T11,SKU00001,25,3
2025-02-01,T11,SKU00001,14,2
2025-03-01,T11,SKU00001,13,2
2025-04-01,T11,SKU00001,30,5
2025-05-01,T11,SKU00001,19,4
2025-06-01,T11,SKU00001,16,2
2025-07-01,T11,SKU00001,20,4
2025-08-01,T11,SKU00001,11,1
2025-09-01,T11,SKU00001,15,1
2025-10-01,T11,SKU00001,32,4
2025-11-01,T11,SKU00001,25,2
