id_transferencia,id_producto,origen,destino,fecha_envio,fecha_recepcion,unidades
TRF00001,SKU00291,DEP-CENTRAL,T18,2024-07-18,2024-07-27,7
TRF00002,SKU00136,T08,T11,2025-09-22,2025-10-07,42
TRF00003,SKU00476,T16,T19,2024-08-15,2024-08-22,6
TRF00004,SKU00126,T09,T03,2024-10-25,2024-11-11,48
TRF00005,SKU00062,DEP-CENTRAL,T18,2025-10-07,2025-10-22,20
TRF00006,SKU00359,DEP-CENTRAL,T20,2025-02-18,2025-02-24,49
TRF00007,SKU00073,DEP-CENTRAL,T06,2025-08-15,2025-08-30,55
TRF00008,SKU00019,T16,DEP-CENTRAL,2023-05-13,2023-06-02,37
TRF00009,SKU00032,DEP-CENTRAL,T05,2025-10-13,2025-10-24,16
TRF00010,SKU00190,T08,T19,2024-05-12,2024-05-30,43
TRF00011,SKU00530,DEP-CENTRAL,T03,2026-02-10,2026-02-17,39
TRF00012,SKU00044,T18,T16,2023-06-17,2023-06-23,5
TRF00013,SKU00141,T27,T08,2025-12-25,2026-01-05,20
TRF00014,SKU00105,T02,DEP-CENTRAL,2026-07-05,2026-07-11,49
TRF00015,SKU00673,T06,T19,2025-04-26,2025-05-05,46
TRF00016,SKU00363,T03,T13,2025-03-10,2025-03-17,26
TRF00017,SKU00313,T15,T01,2024-03-17,2024-03-23,15
TRF00018,SKU00530,DEP-CENTRAL,T04,2024-01-21,2024-01-30,22
TRF00019,SKU00718,T09,DEP-CENTRAL,2024-05-27,2024-06-04,19
TRF00020,SKU00471,DEP-CENTRAL,T22,2026-01-20,2026-01-24,14
TRF00021,SKU00255,DEP-CENTRAL,T01,2024-01-23,2024-01-26,5
TRF00022,SKU00501,T17,T21,2024-03-24,2024-04-11,58
TRF00023,SKU00217,T14,T02,2023-05-12,2023-05-23,10
TRF00024,SKU00526,DEP-CENTRAL,T01,2025-05-07,2025-05-16,22
TRF00025,SKU00047,T27,T09,2023-01-19,2023-01-30,41
TRF00026,SKU00069,DEP-CENTRAL,T17,2025-05-15,2025-05-22,15
TRF00027,SKU00594,DEP-CENTRAL,T22,2024-08-08,2024-08-25,58
TRF00028,SKU00530,T10,T15,2024-01-05,2024-01-25,26
TRF00029,SKU00697,DEP-CENTRAL,T04,2026-07-02,2026-07-07,22
TRF00030,SKU00047,T22,T21,2024-04-10,2024-04-15,6
TRF00031,SKU00068,DEP-CENTRAL,T11,2023-09-09,2023-09-12,10
TRF00032,SKU00297,T22,T05,2025-02-14,2025-02-18,49
TRF00033,SKU00129,T23,T16,2024-10-26,2024-11-06,29
TRF00034,SKU00603,T27,T08,2026-02-24,2026-03-09,50
TRF00035,SKU00500,T05,T04,2024-07-21,2024-07-29,40
TRF00036,SKU00404,DEP-CENTRAL,T04,2023-01-16,2023-01-23,8
TRF00037,SKU00228,T15,T07,2026-08-03,2026-08-13,28
TRF00038,SKU00659,T03,T15,2025-04-10,2025-04-23,53
TRF00039,SKU00509,T15,T19,2026-08-25,2026-09-13,34
TRF00040,SKU00638,T08,T25,2025-06-07,2025-06-20,24
TRF00041,SKU00009,DEP-CENTRAL,T18,2025-02-03,2025-02-07,9
TRF00042,SKU00757,T09,DEP-CENTRAL,2024-05-20,2024-06-06,55
TRF00043,SKU00430,DEP-CENTRAL,T10,2025-05-13,2025-05-27,59
TRF00044,SKU00183,DEP-CENTRAL,T16,2024-11-11,2024-11-22,15
TRF00045,SKU00270,T10,T07,2022-05-02,2022-05-23,11
TRF00046,SKU00328,DEP-CENTRAL,T12,2025-09-11,2025-09-25,11
TRF00047,SKU00121,DEP-CENTRAL,T10,2026-06-17,2026-07-04,53
TRF00048,SKU00206,DEP-CENTRAL,T10,2026-01-10,2026-01-30,23
TRF00049,SKU00595,DEP-CENTRAL,T13,2025-11-06,2025-11-22,10
TRF00050,SKU00340,DEP-CENTRAL,T27,2024-10-13,2024-11-01,48
TRF00051,SKU00107,DEP-CENTRAL,T27,2025-02-25,2025-03-07,32
TRF00052,SKU00343,T25,T19,2024-12-09,2024-12-23,27
TRF00053,SKU00122,DEP-CENTRAL,T11,2023-09-03,2023-09-21,59
TRF00054,SKU00070,T04,T24,2024-07-12,2024-07-27,57
TRF00055,SKU00256,T18,DEP-CENTRAL,2025-06-08,2025-06-26,45
TRF00056,SKU00333,DEP-CENTRAL,T12,2026-01-04,2026-01-09,55
TRF00057,SKU00718,DEP-CENTRAL,T04,2024-07-03,2024-07-12,26
TRF00058,SKU00577,T11,T10,2025-08-05,2025-08-20,25
TRF00059,SKU00145,DEP-CENTRAL,T28,2026-08-23,2026-09-03,32
TRF00060,SKU00082,DEP-CENTRAL,T17,2024-09-25,2024-10-04,52
TRF00061,SKU00289,T05,T20,2026-01-22,2026-02-01,4
TRF00062,SKU00632,DEP-CENTRAL,T03,2025-09-27,2025-09-30,38
TRF00063,SKU00441,DEP-CENTRAL,T21,2024-07-10,2024-07-28,29
TRF00064,SKU00535,T09,T25,2025-04-06,2025-04-27,40
TRF00065,SKU00588,T24,T22,2025-05-07,2025-05-21,6
TRF00066,SKU00311,DEP-CENTRAL,T25,2023-05-08,2023-05-19,50
TRF00067,SKU00228,DEP-CENTRAL,T26,2023-09-17,2023-09-26,35
TRF00068,SKU00750,DEP-CENTRAL,T12,2024-01-20,2024-02-10,42
TRF00069,SKU00696,DEP-CENTRAL,T21,2023-10-08,2023-10-26,12
TRF00070,SKU00716,T01,T28,2026-02-02,2026-02-16,7
TRF00071,SKU00716,T05,T02,2025-09-14,2025-10-05,46
TRF00072,SKU00753,DEP-CENTRAL,T18,2025-09-12,2025-10-02,22
TRF00073,SKU00122,DEP-CENTRAL,T12,2024-11-06,2024-11-10,46
TRF00074,SKU00295,T21,T20,2024-11-27,2024-12-12,47
TRF00075,SKU00107,DEP-CENTRAL,T16,2024-09-07,2024-09-26,20
TRF00076,SKU00327,DEP-CENTRAL,T23,2023-06-09,2023-06-30,12
TRF00077,SKU00277,DEP-CENTRAL,T25,2024-06-22,2024-07-12,34
TRF00078,SKU00677,T07,T22,2026-02-03,2026-02-19,37
