id_producto,categoria,precio_lista,costo_oc,costo_ajustado,costo_mediana_cat,n_oc
SKU00003,Bano,39000.0,17635.5,21728.83,24720.0,2.0
SKU00028,Decoracion,66500.0,29433.75,36265.53,26810.0,3.0
SKU00130,Organizacion,45500.0,19623.17,24177.85,23530.0,2.0
SKU00137,Muebles,47500.0,22753.67,28034.95,25370.0,2.0
SKU00214,Muebles,18900.0,9010.03,11101.33,25370.0,2.0
SKU00227,Bano,33200.0,14828.36,18270.13,24720.0,7.0
SKU00234,Muebles,82600.0,37084.05,45691.52,25370.0,2.0
SKU00249,Bano,59600.0,25450.66,31357.94,24720.0,7.0
SKU00267,Bano,11100.0,4717.85,5812.89,24720.0,2.0
SKU00290,Cocina y mesa,33900.0,15021.8,18508.46,26380.0,9.0
SKU00305,Decoracion,9400.0,4192.34,5165.41,26810.0,5.0
SKU00342,Decoracion,66200.0,29974.06,36931.24,26810.0,3.0
SKU00369,Organizacion,83300.0,38504.45,47441.6,23530.0,4.0
SKU00392,Organizacion,63500.0,28777.93,35457.49,23530.0,4.0
SKU00411,Muebles,69800.0,29376.94,36195.54,25370.0,2.0
SKU00432,Organizacion,45600.0,21161.54,26073.28,23530.0,8.0
SKU00485,Muebles,13300.0,5703.43,7027.24,25370.0,1.0
SKU00645,Decoracion,54000.0,23226.58,28617.63,26810.0,3.0
SKU00646,Bano,40900.0,18775.61,23133.55,24720.0,5.0
SKU00742,Decoracion,81300.0,37195.2,45828.46,26810.0,7.0
SKU00753,Textil hogar,79200.0,35728.43,44021.24,25295.0,8.0
SKU00782,Decoracion,26300.0,11527.74,14203.41,26810.0,3.0
