fila_csv,fecha_mes,id_tienda,id_producto,stock_disponible,stock_en_transito,par,ocurrencia
161114,2024-01-01,T03,SKU00566,16,2,1,1
237048,2024-01-01,T03,SKU00566,16,2,1,2
121164,2024-02-01,T14,SKU00433,7,1,2,1
235333,2024-02-01,T14,SKU00433,7,1,2,2
121012,2024-05-01,T07,SKU00433,9,1,3,1
235471,2024-05-01,T07,SKU00433,9,1,3,2
121055,2024-05-01,T22,SKU00433,10,0,4,1
235428,2024-05-01,T22,SKU00433,10,0,4,2
151307,2024-05-01,T28,SKU00533,27,3,5,1
235639,2024-05-01,T28,SKU00533,27,3,5,2
121215,2024-07-01,T23,SKU00433,12,1,6,1
235453,2024-07-01,T23,SKU00433,12,1,6,2
121082,2024-09-01,T13,SKU00433,7,3,7,1
235385,2024-09-01,T13,SKU00433,7,3,7,2
121171,2024-09-01,T14,SKU00433,8,1,8,1
235339,2024-09-01,T14,SKU00433,8,1,8,2
151270,2024-12-01,T24,SKU00533,18,3,9,1
235894,2024-12-01,T24,SKU00533,18,3,9,2
157401,2025-05-01,T19,SKU00552,5,0,10,1
236172,2025-05-01,T19,SKU00552,5,0,10,2
157505,2025-07-01,T02,SKU00552,3,1,11,1
236124,2025-07-01,T02,SKU00552,3,1,11,2
157454,2025-07-01,T16,SKU00552,4,2,12,1
236133,2025-07-01,T16,SKU00552,4,2,12,2
121112,2025-07-01,T20,SKU00433,7,1,13,1
235419,2025-07-01,T20,SKU00433,7,1,13,2
157446,2025-07-01,T22,SKU00552,4,1,14,1
236115,2025-07-01,T22,SKU00552,4,1,14,2
157559,2025-08-01,T15,SKU00552,3,1,15,1
236192,2025-08-01,T15,SKU00552,3,1,15,2
157455,2025-08-01,T16,SKU00552,4,0,16,1
236134,2025-08-01,T16,SKU00552,4,0,16,2
157431,2025-09-01,T05,SKU00552,4,1,17,1
236067,2025-09-01,T05,SKU00552,4,1,17,2
157517,2025-10-01,T04,SKU00552,3,0,18,1
236212,2025-10-01,T04,SKU00552,3,0,18,2
157448,2025-10-01,T22,SKU00552,5,0,19,1
236118,2025-10-01,T22,SKU00552,5,0,19,2
157458,2025-11-01,T16,SKU00552,3,0,20,1
236137,2025-11-01,T16,SKU00552,3,0,20,2
157434,2025-12-01,T05,SKU00552,3,0,21,1
236070,2025-12-01,T05,SKU00552,3,0,21,2
