fila_csv,fecha_mes,id_tienda,id_producto,unidades_vendidas,venta_neta,par,ocurrencia
84994,2022-03-01,T09,SKU00311,0,0.0,1,1
238671,2022-03-01,T09,SKU00311,0,0.0,1,2
85344,2022-09-01,T04,SKU00311,0,0.0,2,1
238944,2022-09-01,T04,SKU00311,0,0.0,2,2
85345,2022-10-01,T04,SKU00311,0,0.0,3,1
238945,2022-10-01,T04,SKU00311,0,0.0,3,2
84913,2022-11-01,T02,SKU00311,0,0.0,4,1
238903,2022-11-01,T02,SKU00311,0,0.0,4,2
85529,2023-03-01,T12,SKU00311,0,0.0,5,1
238994,2023-03-01,T12,SKU00311,0,0.0,5,2
85139,2023-09-01,T05,SKU00311,0,0.0,6,1
239267,2023-09-01,T05,SKU00311,0,0.0,6,2
126822,2023-12-01,T17,SKU00453,0,0.0,7,1
234167,2023-12-01,T17,SKU00453,0,0.0,7,2
121051,2024-01-01,T22,SKU00433,0,0.0,8,1
235425,2024-01-01,T22,SKU00433,0,0.0,8,2
120586,2024-02-01,T07,SKU00430,0,0.0,9,1
235176,2024-02-01,T07,SKU00430,0,0.0,9,2
121010,2024-03-01,T07,SKU00433,0,0.0,10,1
235469,2024-03-01,T07,SKU00433,0,0.0,10,2
85540,2024-03-01,T12,SKU00311,0,0.0,11,1
239005,2024-03-01,T12,SKU00311,0,0.0,11,2
120544,2024-05-01,T21,SKU00430,0,0.0,12,1
235225,2024-05-01,T21,SKU00430,0,0.0,12,2
120455,2024-05-01,T25,SKU00430,0,0.0,13,1
235247,2024-05-01,T25,SKU00430,0,0.0,13,2
120545,2024-06-01,T21,SKU00430,0,0.0,14,1
235226,2024-06-01,T21,SKU00430,0,0.0,14,2
121215,2024-07-01,T23,SKU00433,0,0.0,15,1
235453,2024-07-01,T23,SKU00433,0,0.0,15,2
85366,2024-08-01,T04,SKU00311,0,0.0,16,1
238966,2024-08-01,T04,SKU00311,0,0.0,16,2
120458,2024-08-01,T25,SKU00430,0,0.0,17,1
235250,2024-08-01,T25,SKU00430,0,0.0,17,2
4380,2024-09-01,T03,SKU00016,0,0.0,18,1
235002,2024-09-01,T03,SKU00016,0,0.0,18,2
120459,2024-09-01,T25,SKU00430,0,0.0,19,1
235251,2024-09-01,T25,SKU00430,0,0.0,19,2
126342,2024-10-01,T13,SKU00453,0,0.0,20,1
234033,2024-10-01,T13,SKU00453,0,0.0,20,2
120592,2024-11-01,T07,SKU00430,0,0.0,21,1
235184,2024-11-01,T07,SKU00430,0,0.0,21,2
85023,2024-11-01,T09,SKU00311,0,0.0,22,1
238702,2024-11-01,T09,SKU00311,0,0.0,22,2
126833,2024-11-01,T17,SKU00453,0,0.0,23,1
234175,2024-11-01,T17,SKU00453,0,0.0,23,2
85196,2024-12-01,T06,SKU00311,0,0.0,24,1
239193,2024-12-01,T06,SKU00311,0,0.0,24,2
121265,2025-03-01,T11,SKU00433,0,0.0,25,1
235525,2025-03-01,T11,SKU00433,0,0.0,25,2
157409,2025-04-01,T06,SKU00552,0,0.0,26,1
236138,2025-04-01,T06,SKU00552,0,0.0,26,2
120596,2025-04-01,T07,SKU00430,0,0.0,27,1
235188,2025-04-01,T07,SKU00430,0,0.0,27,2
157555,2025-04-01,T15,SKU00552,0,0.0,28,1
236188,2025-04-01,T15,SKU00552,0,0.0,28,2
157451,2025-04-01,T16,SKU00552,0,0.0,29,1
236130,2025-04-01,T16,SKU00552,0,0.0,29,2
157520,2025-04-01,T23,SKU00552,0,0.0,30,1
236079,2025-04-01,T23,SKU00552,0,0.0,30,2
157512,2025-05-01,T04,SKU00552,0,0.0,31,1
236207,2025-05-01,T04,SKU00552,0,0.0,31,2
85028,2025-05-01,T09,SKU00311,0,0.0,32,1
238708,2025-05-01,T09,SKU00311,0,0.0,32,2
157436,2025-05-01,T14,SKU00552,0,0.0,33,1
236165,2025-05-01,T14,SKU00552,0,0.0,33,2
85464,2025-05-01,T15,SKU00311,0,0.0,34,1
238841,2025-05-01,T15,SKU00311,0,0.0,34,2
157401,2025-05-01,T19,SKU00552,0,0.0,35,1
236172,2025-05-01,T19,SKU00552,0,0.0,35,2
126695,2025-06-01,T03,SKU00453,0,0.0,36,1
234319,2025-06-01,T03,SKU00453,0,0.0,36,2
157410,2025-06-01,T06,SKU00552,0,0.0,37,1
236140,2025-06-01,T06,SKU00552,0,0.0,37,2
157402,2025-06-01,T19,SKU00552,0,0.0,38,1
236173,2025-06-01,T19,SKU00552,0,0.0,38,2
157505,2025-07-01,T02,SKU00552,0,0.0,39,1
236124,2025-07-01,T02,SKU00552,0,0.0,39,2
126351,2025-07-01,T13,SKU00453,0,0.0,40,1
234042,2025-07-01,T13,SKU00453,0,0.0,40,2
157558,2025-07-01,T15,SKU00552,0,0.0,41,1
236191,2025-07-01,T15,SKU00552,0,0.0,41,2
157464,2025-08-01,T18,SKU00552,0,0.0,42,1
236091,2025-08-01,T18,SKU00552,0,0.0,42,2
157524,2025-08-01,T23,SKU00552,0,0.0,43,1
236083,2025-08-01,T23,SKU00552,0,0.0,43,2
126456,2025-08-01,T25,SKU00453,0,0.0,44,1
