proveedor,median,mean,min,max,lead_time_dias,pedido_minimo_unidades,uds_bajo_minimo
Proveedor A,33.0,32.954385964912284,29,37,32,147,0
Proveedor B,47.0,46.83538083538083,43,51,46,192,0
Proveedor C,11.0,11.01195219123506,7,15,10,35,0
Proveedor D,26.0,25.891025641025642,22,30,25,153,0
Proveedor E,38.0,37.824902723735406,34,42,37,193,0
Proveedor F,57.0,57.04984423676012,53,61,56,52,0
Proveedor G,29.0,29.282420749279538,25,33,28,21,0
Proveedor H,12.0,12.00327868852459,8,16,11,36,0
Proveedor I,32.0,31.846715328467152,28,36,31,182,0
Proveedor J,53.0,52.946058091286304,49,57,52,155,0
