fuente,variable,n,min,p50,p99,max,lim_sup_IQR,out_bajo,out_alto,%out_IQR,out_z3,max_z,max/p99,skew
Ventas_SKU_tienda_mensual,unidades_vendidas,239336,-26.0,2.0,17.0,31.0,8.5,1011,19774,8.68,5130,8.0,1.82,1.76
Ventas_SKU_tienda_mensual,venta_neta,239336,-1705312.3,66113.9,962339.6,2120729.2,408047.3,615,19356,8.34,6044,10.0,2.2,2.58
Stock_SKU_tienda_mensual,stock_disponible,239336,-152.0,10.0,94.0,173.0,46.5,309,17141,7.29,6597,9.0,1.84,2.32
Stock_SKU_tienda_mensual,stock_en_transito,239336,0.0,2.0,15.0,27.0,8.5,0,16528,6.91,5922,7.4,1.8,1.98
Stock_Deposito_Central,stock_disponible,23858,0.0,44.0,427.9,677.0,193.5,0,1847,7.74,580,7.3,1.58,2.61
Productos_catalogo,costo_unitario,793,1330.0,25170.0,52668.4,57090.0,71070.0,0,0,0.0,0,2.3,1.08,0.02
Productos_catalogo,precio_lista,815,2400.0,45800.0,88886.0,89700.0,128700.0,0,0,0.0,0,1.8,1.01,-0.04
Liquidaciones,descuento_pct,508,-10.0,25.0,50.0,120.0,77.5,0,2,0.39,2,6.4,2.4,1.33
Devoluciones_SKU,unidades_devueltas,2317,1.0,3.0,17.8,26.0,9.5,0,180,7.77,66,6.2,1.46,2.06
Historial_Precios_SKU,precio_lista,1498,587.7,28369.4,87306.0,89700.0,108444.8,0,0,0.0,0,2.3,1.03,0.6
Historial_Precios_SKU,costo_unitario,1458,277.7,15172.2,50725.8,57090.0,58494.5,0,0,0.0,0,2.8,1.13,0.65
Ordenes_Compra,unidades,3000,21.0,153.0,576.0,579.0,402.0,0,205,6.83,73,3.1,1.01,1.35
Ordenes_Compra,costo_unitario_ars,3000,1280.7,25439.1,52872.7,59720.2,71619.2,0,0,0.0,0,2.5,1.13,0.04
Presupuesto_Ventas_Tienda_Categoria,presupuesto_venta_ars,10976,-963369.3,3770630.3,11174803.7,15320222.3,11740625.5,0,58,0.53,37,4.1,1.37,0.56
Presupuesto_Ventas_Tienda_Categoria,presupuesto_unidades,10976,-9.0,91.0,246.2,336.0,263.5,0,44,0.4,34,4.1,1.36,0.41
Promociones_Comerciales,descuento_pct,119,-15.0,20.0,40.0,150.0,60.0,0,1,0.84,1,8.0,3.75,4.3
Proveedores,lead_time_dias,10,10.0,31.5,55.6,56.0,70.8,0,0,0.0,0,1.5,1.01,-0.03
Proveedores,pedido_minimo_unidades,10,21.0,150.0,192.9,193.0,378.1,0,0,0.0,0,1.3,1.0,-0.35
Transferencias_Stock,unidades,4200,2.0,30.0,59.0,59.0,88.5,0,0,0.0,0,1.7,1.0,0.01
Tiendas,m2_venta,28,450.0,800.0,1500.0,1500.0,2156.2,0,0,0.0,0,1.6,1.0,0.54
Costo_almacenamiento,precio_lista_promedio,7,43194.0,46255.0,48102.8,48136.0,51824.8,0,0,0.0,0,1.4,1.0,-0.37
Costo_almacenamiento,costo_mensual_almacenamiento_unidad_ars,7,648.0,694.0,721.5,722.0,778.8,0,0,0.0,0,1.4,1.0,-0.36
