fecha_mes,venta,unidades,stock,transito,cobertura_meses
2022-01-01,462032.89,12,45,8,3.75
2022-02-01,21523152.19,488,2432,440,4.983606557377049
2022-03-01,31660031.24,904,4315,786,4.773230088495575
2022-04-01,56805165.25,1401,7331,1196,5.232690935046396
2022-05-01,97968497.64,2502,13205,2253,5.277777777777778
2022-06-01,137236530.98,3291,17151,2879,5.211485870556062
2022-07-01,172654756.46,3945,21008,3655,5.325221799746514
2022-08-01,195025750.73,4338,23070,4059,5.318118948824343
2022-09-01,206541354.81,4941,26788,4533,5.421574580044525
2022-10-01,266756830.73,6220,32399,5582,5.208842443729903
2022-11-01,293401735.26,6977,36543,6372,5.237637953275047
2022-12-01,332340177.8,7927,41627,6987,5.251293049072789
2023-01-01,348264965.93,8561,45279,7830,5.288984931666861
2023-02-01,395509251.76,9348,48427,8305,5.1804664099272575
2023-03-01,433522266.98,10091,54106,9057,5.361807551283322
2023-04-01,454160256.7,10492,54855,9501,5.228269157453298
2023-05-01,480870864.43,11259,58737,10156,5.216893152144951
2023-06-01,518542469.79,12027,63158,10961,5.251351126631746
2023-07-01,553972397.21,12830,67248,11643,5.241465315666407
2023-08-01,562893384.81,13042,69269,11832,5.3112252721975155
2023-09-01,606681952.04,14037,74632,13031,5.3168055852390115
2023-10-01,618325810.98,14318,77190,13212,5.391116077664479
2023-11-01,649220203.0,15358,80981,14055,5.272887094673786
2023-12-01,701045583.85,16387,85662,14691,5.227436382498322
2024-01-01,726048717.08,17045,88965,15067,5.219419184511587
2024-02-01,723279021.64,17188,91489,15688,5.322841517337677
2024-03-01,754344186.87,18005,94744,16299,5.262093862815885
2024-04-01,790419318.68,18568,99080,16872,5.33606204222318
2024-05-01,829724000.09,19174,100675,17437,5.250599770522583
2024-06-01,879317816.46,20281,106079,18515,5.230462008776687
2024-07-01,901111641.32,20518,107712,18408,5.249634467297008
2024-08-01,953685277.36,21449,113003,19209,5.2684507436244115
2024-09-01,986666701.68,22020,118143,20188,5.365258855585831
2024-10-01,1017200346.72,22839,120539,20644,5.277770480318753
2024-11-01,1044708847.0,23634,125623,21482,5.315350765845816
2024-12-01,1062603962.25,24195,126325,21779,5.221120066129366
2025-01-01,1102914718.97,25096,132979,22938,5.298812559770481
2025-02-01,1110729000.61,25506,134077,23260,5.2566847016388305
2025-03-01,1119743779.85,25810,138353,23737,5.360441689267725
2025-04-01,1149929435.33,26546,140273,24026,5.2841482709259395
2025-05-01,1149036134.7,26258,141736,24273,5.3978216162693275
2025-06-01,1166463715.87,27003,141319,24363,5.233455541976817
2025-07-01,1195770344.69,27519,145503,24875,5.2873650932083285
2025-08-01,1179252183.53,26918,142200,24628,5.28271045397132
2025-09-01,1159009279.03,26316,140006,24330,5.320185438516492
2025-10-01,1141830578.43,26192,137935,23903,5.266302687843616
2025-11-01,1132358474.89,25981,138528,23942,5.331896385820407
2025-12-01,1126890395.04,25781,135484,23528,5.25518792909507
