id_producto,categoria,subcategoria,proveedor,precio_lista,estado,fecha_alta_catalogo,ocs,costo_min,costo_max,costo_ult,ult_pedido,uds,costo_ponderado_oc,stock_dic25,tiendas_con_stock,venta,uds_vend,margen_si_uso_oc_%,dispersion_costo_oc_%
SKU00003,Baño,Alfombras de baño,Proveedor C,39000.0,Discontinuado,2025-03-25,2,17484.35,17786.66,17484.35,2025-07-21,70,17635.5,,,2015067.97,56,54.8,1.7
SKU00028,Decoracion,Plantas artificiales,Proveedor J,66500.0,Discontinuado,2025-06-27,3,27596.25,29906.65,29906.65,2025-12-20,775,29433.75,183.0,11.0,14995065.36,243,55.7,8.4
SKU00130,Organizacion,Cajas,Proveedor B,45500.0,Activo,2025-02-22,2,19582.99,19743.72,19743.72,2026-07-20,768,19623.17,60.0,7.0,4826454.6,113,56.9,0.8
SKU00137,Muebles,Sillas,Proveedor A,47500.0,Discontinuado,2025-02-23,2,22240.48,23266.86,23266.86,2025-07-31,294,22753.67,,,8445452.8,190,52.1,4.6
SKU00214,Muebles,Estanterias,Proveedor J,18900.0,Discontinuado,2025-05-07,2,8316.74,9703.33,8316.74,2025-10-05,310,9010.03,,,722854.67,41,52.3,16.7
SKU00227,Baño,Cortinas de baño,Proveedor A,33200.0,Activo,2025-03-02,7,14112.94,15151.86,14962.88,2026-03-21,1911,14828.36,97.0,13.0,5731881.11,186,55.3,7.4
SKU00234,Muebles,Sillas,Proveedor I,82600.0,Activo,2025-03-07,2,36720.67,37205.18,36720.67,2026-01-13,728,37084.05,27.0,11.0,7246674.65,95,55.1,1.3
SKU00249,Baño,Alfombras de baño,Proveedor B,59600.0,Activo,2025-03-07,7,24265.53,26171.44,25275.27,2026-06-23,2688,25450.66,148.0,7.0,10940243.06,198,57.3,7.9
SKU00267,Baño,Alfombras de baño,Proveedor J,11100.0,Activo,2025-04-21,2,4714.96,4726.51,4714.96,2026-02-25,620,4717.85,23.0,9.0,461663.61,45,57.5,0.2
SKU00290,Cocina y mesa,Vajilla,Proveedor D,33900.0,Discontinuado,2025-05-21,9,13999.84,16361.44,15184.46,2025-09-02,1683,15021.8,,,3788921.08,121,55.7,16.9
SKU00305,Decoracion,Espejos,Proveedor A,9400.0,Activo,2025-02-23,5,4005.37,4469.55,4141.06,2026-04-04,882,4192.34,68.0,9.0,1256547.72,144,55.4,11.6
SKU00342,Decoracion,Espejos,Proveedor G,66200.0,Discontinuado,2025-02-06,3,28014.34,30624.92,29981.19,2025-02-11,105,29974.06,,,552472.27,9,54.7,9.3
SKU00369,Organizacion,Cajas,Proveedor F,83300.0,Activo,2025-03-28,4,34777.24,41388.63,37651.01,2026-02-16,260,38504.45,602.0,15.0,71451858.83,924,53.8,19.0
SKU00392,Organizacion,Contenedores,Proveedor F,63500.0,Activo,2025-06-07,4,28217.03,29506.5,28363.74,2025-12-10,364,28777.93,46.0,15.0,3070374.23,52,54.7,4.6
SKU00411,Muebles,Mesas auxiliares,Proveedor H,69800.0,Activo,2025-04-20,2,28823.91,29929.98,28823.91,2026-06-28,144,29376.94,75.0,8.0,7573726.98,117,57.9,3.8
SKU00432,Organizacion,Cajas,Proveedor B,45600.0,Activo,2025-05-19,8,19874.46,22105.35,20897.64,2026-05-21,1728,21161.54,162.0,18.0,6241913.58,148,53.6,11.2
SKU00485,Muebles,Mesas auxiliares,Proveedor G,13300.0,Activo,2025-06-26,1,5703.43,5703.43,5703.43,2025-07-16,21,5703.43,220.0,14.0,3519161.6,289,57.1,0.0
SKU00645,Decoracion,Plantas artificiales,Proveedor F,54000.0,Activo,2025-02-06,3,21639.81,24392.01,24392.01,2026-07-29,156,23226.58,487.0,16.0,51122072.69,1026,57.0,12.7
SKU00646,Baño,Cortinas de baño,Proveedor B,40900.0,Activo,2025-03-12,5,16504.61,19980.51,16504.61,2026-07-04,1344,18775.61,142.0,8.0,8220735.85,216,54.1,21.1
SKU00742,Decoracion,Velas,Proveedor I,81300.0,Activo,2025-03-20,7,35099.98,40166.41,35099.98,2026-06-08,2002,37195.2,77.0,9.0,10027324.23,133,54.2,14.4
SKU00753,Textil hogar,Cortinas,Proveedor B,79200.0,Activo,2025-06-06,8,33519.29,38734.47,38734.47,2026-06-22,2112,35728.43,142.0,16.0,11514291.48,158,54.9,15.6
SKU00782,Decoración,Cuadros,Proveedor D,26300.0,Activo,2025-03-31,3,11051.15,11993.64,11993.64,2026-04-18,459,11527.74,51.0,6.0,1932677.74,78,56.2,8.5
