id_tienda,venta,nombre_tienda,region,formato,m2_venta,fecha_apertura,venta_M,venta_por_m2,%,%acum
T24,1341868351.77,Casa Óga Buenos Aires 24,AMBA,Grande,800.0,2016-04-18,1341.86835177,1677335.4397125,4.123950135303818,4.123950135303818
T15,1274043847.28,Casa Óga Salta 15,NOA,Mediano,600.0,2021-09-25,1274.04384728,2123406.4121333333,3.9155057867211087,8.039455922024926
T04,1256534023.82,Casa Óga Santa Fe 4,Centro,Grande,450.0,2017-01-15,1256.53402382,2792297.830711111,3.8616930272713725,11.9011489492963
T22,1239300185.91,Casa Óga CABA 22,AMBA,Mediano,1500.0,2022-04-07,1239.30018591,826200.1239400001,3.808728451359734,15.709877400656033
T25,1237709454.96,Casa Óga Cordoba 25,Centro,Grande,1500.0,2025-02-11,1237.7094549600001,825139.63664,3.803839674373652,19.513717075029685
T19,1221132508.64,Casa Óga Mendoza 19,Cuyo,Mediano,800.0,2023-06-28,1221.1325086400002,1526415.6358,3.7528939165956157,23.2666109916253
T08,1211891128.63,Casa Óga Neuquen 8,Patagonia,Grande,600.0,2015-07-18,1211.8911286300001,2019818.547716667,3.7244924789341916,26.99110347055949
T05,1209285398.25,Casa Óga Buenos Aires 5,AMBA,Mediano,450.0,2022-09-08,1209.28539825,2687300.885,3.716484314691408,30.707587785250897
T17,1208076547.18,Casa Óga Entre Rios 17,Centro,Chico,600.0,2017-01-04,1208.07654718,2013460.9119666668,3.712769165193239,34.42035695044414
T13,1199559818.42,Casa Óga Santa Fe 13,Centro,Chico,1200.0,2014-11-17,1199.55981842,999633.1820166667,3.686594790728099,38.10695174117224
T02,1169898653.88,Casa Óga Buenos Aires 2,AMBA,Grande,450.0,2014-11-11,1169.8986538800002,2599774.7864,3.5954374403392526,41.70238918151149
T26,1169551193.87,Casa Óga Salta 26,NOA,Mediano,1200.0,2018-04-16,1169.55119387,974625.9948916666,3.594369595082031,45.29675877659352
T23,1165678163.72,Casa Óga Buenos Aires 23,AMBA,Mediano,450.0,2018-04-30,1165.67816372,2590395.9193777777,3.582466651555522,48.87922542814904
T18,1164311430.68,Casa Óga Salta 18,NOA,Mediano,1200.0,2021-01-25,1164.31143068,970259.5255666667,3.578266285030894,52.457491713179934
T11,1161467617.35,Casa Óga CABA 11,AMBA,Grande,800.0,2016-12-28,1161.46761735,1451834.5216875,3.5695264229188153,56.02701813609875
T20,1161031565.92,Casa Óga Buenos Aires 20,AMBA,Mediano,450.0,2014-08-29,1161.03156592,2580070.146488889,3.568186310566232,59.59520444666498
T09,1143746524.66,Casa Óga Tucuman 9,NOA,Mediano,600.0,2019-03-24,1143.74652466,1906244.2077666668,3.5150643719282995,63.110268818593276
T28,1142978681.2,Casa Óga CABA 28,AMBA,Grande,1500.0,2015-08-26,1142.9786812,761985.7874666667,3.512704566559478,66.62297338515276
T03,1141131251.05,Casa Óga Mendoza 3,Cuyo,Chico,450.0,2017-08-11,1141.13125105,2535847.2245555553,3.507026878575401,70.13000026372816
T07,1134289019.74,Casa Óga Cordoba 7,Centro,Mediano,800.0,2024-05-25,1134.28901974,1417861.274675,3.485998719814943,73.61599898354311
T21,1132298419.98,Casa Óga Mendoza 21,Cuyo,Grande,600.0,2023-06-13,1132.29841998,1887164.0333,3.4798810301483227,77.09588001369143
T10,1110459294.45,Casa Óga Buenos Aires 10,AMBA,Mediano,450.0,2014-11-30,1110.45929445,2467687.321,3.412763071396586,80.50864308508801
T27,1098502975.49,Casa Óga Buenos Aires 27,AMBA,Chico,1200.0,2015-08-10,1098.50297549,915419.1462416666,3.37601783992303,83.88466092501105
T01,1097152401.19,Casa Óga Mendoza 1,Cuyo,Grande,800.0,2021-08-14,1097.15240119,1371440.5014875,3.3718671338870196,87.25652805889807
T06,1093217822.36,Casa Óga Santa Fe 6,Centro,Mediano,1500.0,2022-01-11,1093.21782236,728811.8815733333,3.359775033438462,90.61630309233654
T16,1080935546.3,Casa Óga Tucuman 16,NOA,Grande,600.0,2020-07-31,1080.9355463,1801559.2438333333,3.3220280413787244,93.93833113371527
T12,991273336.59,Casa Óga Mendoza 12,Cuyo,Chico,1200.0,2020-02-23,991.27333659,826061.113825,3.0464700990683213,96.98480123278358
T14,981098138.26,Casa Óga CABA 14,AMBA,Grande,1500.0,2016-10-09,981.09813826,654065.4255066667,3.0151987672164324,100.00000000000001
