fecha_mes,id_tienda,id_producto,unidades_vendidas,venta_neta
2023-08-01,T03,SKU00001,5,77232.1
2023-09-01,T03,SKU00001,3,49080.54
2023-10-01,T03,SKU00001,1,17658.27
2023-11-01,T03,SKU00001,4,61053.81
2023-12-01,T03,SKU00001,1,15931.7
2024-01-01,T03,SKU00001,2,32800.49
2024-02-01,T03,SKU00001,5,84820.93
2024-03-01,T03,SKU00001,3,49324.42
2024-04-01,T03,SKU00001,3,52189.13
2024-05-01,T03,SKU00001,3,49751.8
2024-06-01,T03,SKU00001,5,84245.72
2024-07-01,T03,SKU00001,4,63719.03
2024-08-01,T03,SKU00001,2,34272.26
2024-09-01,T03,SKU00001,5,77832.42
2024-10-01,T03,SKU00001,4,70340.09
2024-11-01,T03,SKU00001,2,34380.5
2024-12-01,T03,SKU00001,6,93429.89
2025-01-01,T03,SKU00001,4,64300.73
2025-02-01,T03,SKU00001,4,67778.46
2025-03-01,T03,SKU00001,6,97458.93
2025-04-01,T03,SKU00001,2,33154.82
2025-05-01,T03,SKU00001,2,32873.28
2025-06-01,T03,SKU00001,2,30792.62
2025-07-01,T03,SKU00001,6,98804.94
2025-08-01,T03,SKU00001,4,65235.46
2025-09-01,T03,SKU00001,6,100786.44
2025-10-01,T03,SKU00001,4,62455.58
2025-11-01,T03,SKU00001,1,15867.96
2025-12-01,T03,SKU00001,5,87295.21
2023-08-01,T11,SKU00001,3,47911.42
2023-09-01,T11,SKU00001,6,101543.13
2023-10-01,T11,SKU00001,1,15511.32
2023-12-01,T11,SKU00001,2,33752.85
2024-01-01,T11,SKU00001,3,51182.32
2024-03-01,T11,SKU00001,7,110215.87
2024-04-01,T11,SKU00001,3,47862.21
2024-05-01,T11,SKU00001,1,17538.09
2024-06-01,T11,SKU00001,2,32704.98
2024-07-01,T11,SKU00001,8,138828.61
2024-08-01,T11,SKU00001,3,49873.53
2024-09-01,T11,SKU00001,5,85233.18
2024-10-01,T11,SKU00001,4,69839.11
2024-11-01,T11,SKU00001,7,113480.71
2025-01-01,T11,SKU00001,3,52699.11
2025-02-01,T11,SKU00001,3,46142.0
2025-03-01,T11,SKU00001,4,64522.94
2025-04-01,T11,SKU00001,3,50745.21
2025-05-01,T11,SKU00001,3,48127.06
2025-06-01,T11,SKU00001,5,86592.13
2025-07-01,T11,SKU00001,3,48852.23
2025-08-01,T11,SKU00001,4,70177.35
2025-09-01,T11,SKU00001,4,61402.69
2025-10-01,T11,SKU00001,4,71575.17
2025-11-01,T11,SKU00001,6,100905.63
2025-12-01,T11,SKU00001,2,34033.49
2023-09-01,T21,SKU00001,1,15240.2
2023-10-01,T21,SKU00001,1,16995.95
2023-11-01,T21,SKU00001,6,100691.15
2023-12-01,T21,SKU00001,1,17169.15
2024-01-01,T21,SKU00001,3,47883.32
2024-02-01,T21,SKU00001,0,0.0
2024-04-01,T21,SKU00001,3,47253.41
2024-05-01,T21,SKU00001,1,16121.11
2024-06-01,T21,SKU00001,3,51641.54
2024-07-01,T21,SKU00001,1,16244.47
2024-08-01,T21,SKU00001,2,31148.38
2024-09-01,T21,SKU00001,4,67500.79
2024-10-01,T21,SKU00001,2,34095.26
2024-11-01,T21,SKU00001,2,33990.56
2025-01-01,T21,SKU00001,3,47759.97
2025-02-01,T21,SKU00001,6,95360.07
2025-03-01,T21,SKU00001,1,16752.76
2025-04-01,T21,SKU00001,4,65173.89
2025-05-01,T21,SKU00001,1,17673.38
2025-06-01,T21,SKU00001,3,52002.95
2025-07-01,T21,SKU00001,6,101998.57
2025-08-01,T21,SKU00001,6,101378.78
2025-09-01,T21,SKU00001,5,78009.72
2025-10-01,T21,SKU00001,5,76380.22
2025-11-01,T21,SKU00001,2,31258.36
2025-12-01,T21,SKU00001,4,61850.57
2023-08-01,T28,SKU00001,5,81048.28
2023-09-01,T28,SKU00001,4,64446.02
2023-10-01,T28,SKU00001,1,15775.5
2023-11-01,T28,SKU00001,5,81680.1
